Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,73,73,0,1,73,0,0,0,270,278,1885,0,688,3,20,0.0410533,1.0037037037037038,10.21111111111111,5.440740740740741,6.518518518518518,4.059259259259259,0,0,0.428801204,satisfy,0
s3-02,72,72,0,1,72,0,0,0,350,359,2416,0,1244,3,20,0.0295611,1,10.382857142857143,5.7628571428571425,7.091428571428572,3.9457142857142857,0,0,0.314434299,satisfy,0
s3-03,70,70,0,1,70,0,0,0,178,183,1212,0,529,3,20,0.0274956,1,10.387640449438202,5.449438202247191,6.887640449438202,3.9775280898876404,0,0,0.378894125,satisfy,0
s3-04,75,75,0,1,75,0,0,0,1314,1324,8845,0,1850,3,20,0.0285233,1.0038051750380517,9.625570776255708,4.4316271963330784,5.462709284627093,4.232115677321157,0,5,0.388700632,satisfy,0
s3-05,77,77,0,1,77,0,0,0,334,341,2653,0,1317,3,20,0.0310737,1.0119760479041917,9.58682634730539,3.933933933933934,5.583832335329341,2.44311377245509,0,1,0.056677733,satisfy,0
s3-06,77,77,0,1,77,0,0,0,1460,1475,10326,0,2926,3,20,0.0273781,1.0095890410958903,10.042465753424658,4.493122420907841,5.641095890410959,4.313013698630137,0,6,0.323202153,satisfy,0
s3-07,73,73,0,1,73,0,0,0,428,433,3043,0,1127,3,20,0.0304522,1,10.495327102803738,5.313084112149533,6.677570093457944,4.214953271028038,0,0,0.325788297,satisfy,0
s3-08,77,77,0,1,77,0,0,0,309,312,2503,0,1522,3,20,0.0253612,1,9.391585760517799,3.7435064935064934,5.433656957928803,2.0841423948220066,0,1,0.069517309,satisfy,0
s3-09,77,77,0,1,77,0,0,0,181,187,1442,0,1114,3,20,0.0309838,1,9.171270718232044,3.511111111111111,5.176795580110498,2.0497237569060776,0,1,0.117374633,satisfy,0
s3-10,77,77,0,1,77,0,0,0,953,962,6374,0,1987,3,20,0.0331752,1.0052465897166842,9.958027282266526,4.590956887486856,5.922350472193075,4.430220356768101,0,2,0.350400358,satisfy,0
s4-01,112,112,0,1,112,0,0,0,39823,39856,343291,0,946260,4,30,0.0301059,1.0005524445672098,15.486854330412074,8.784847952188434,11.700775933505764,5.6905054867789975,0,0,8.534289298000001,satisfy,0
s4-02,,,,,,,0,0,65397,65432,559090,0,1192830,4,30,0.0155376,1.000397571754056,15.383045093811642,8.83818829609921,10.839182225484349,6.9123660106732725,0,0,7.046334875,satisfy,0
s4-03,,,,,,,0,0,58973,59551,547555,0,1191951,4,30,0.0210121,1.009648483204178,15.497464941583436,8.403574517151917,10.948908822681567,5.947874451019958,0,0,7.9079012330000005,satisfy,0
s4-04,113,113,0,1,113,0,0,0,43164,43211,374383,0,692395,4,30,0.0172109,1.000810860902604,15.827796311741265,8.808497822259291,11.46997497914929,5.828398665554629,0,0,7.031550225,satisfy,0
s4-05,107,107,0,1,107,0,0,0,9242,9257,85057,0,153199,4,30,0.0149907,1.0004328067517854,15.433564163600952,9.007465916468297,11.90824496862151,4.649967539493616,0,0,5.079262581,satisfy,0
s4-06,110,110,0,1,110,0,0,0,27678,27731,234537,0,514269,4,30,0.0152447,1.001589710239179,15.747994797311945,8.89121323795072,12.277837994074716,4.936483849989161,0,0,5.951043082,satisfy,0
s4-07,,,,,,,0,0,69140,69214,589689,0,1192878,4,30,0.0164824,1.0009256580850447,15.727972230257448,8.584408446630025,11.83043100954585,5.704917558576801,0,0,6.990948568,satisfy,0
s4-08,113,113,0,1,113,0,0,0,54047,54069,455917,0,761943,4,30,0.0151529,1.0002405313893463,15.625492626787796,9.20929931356042,11.735544988621015,6.053638499824227,0,0,7.012818414,satisfy,0
s4-09,104,104,0,1,104,0,0,0,2747,2762,24616,0,37958,4,30,0.01554,1.001820167455406,15.390971969421187,9.15435020021842,11.373134328358208,4.996723698580269,0,0,4.217433711,satisfy,0
s4-10,,,,,,,0,0,83341,83376,713881,0,1192862,4,30,0.0141248,1.0003359690908435,15.538402466973038,8.824780120228938,11.310423441043424,6.506353415485775,0,0,7.013506039,satisfy,0
s5-01,,,,,,,1,0,,,,,,5,40,0.0297147,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,,,,,,5,40,0.035118,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,,,,,,5,40,0.0316218,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,,,,,,5,40,0.0306922,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,,,,,,5,40,0.0308545,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,,,,,,5,40,0.0304836,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,,,,,,5,40,0.0280639,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,,,,,,5,40,0.0286388,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,,,,,,5,40,0.0325962,,,,,,,,,satisfy,0
