Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,62,62,0,1,62,0,0,0,2713,2721,205512,0,1134,3,20,0.0166623,1,10.459270180611869,6.928492443789163,7.929966826391449,5.90527091780317,0,0,0.30715219,satisfy,0
s3-02,68,68,0,1,68,0,0,0,1510,1519,102504,0,1314,3,20,0.0165052,1,10.282781456953643,6.712582781456954,7.766225165562914,5.055629139072848,0,0,0.281413725,satisfy,0
s3-03,,,,,,,0,1,14154,14153,710633,0,4512,3,20,0.0189308,1,10.102522433406344,6.252898755656108,7.249629053910832,5.637532678584046,0,9,0.343945968,satisfy,0
s3-04,64,64,0,1,64,0,0,0,3884,3890,355843,0,2230,3,20,0.0191284,1,9.748970133882596,5.440577468419696,6.434346035015448,5.0880535530381055,0,5,0.305659989,satisfy,0
s3-05,67,67,0,1,67,0,0,0,6480,6489,687956,0,5641,3,20,0.016991,1.0007716049382716,10.604938271604938,6.171940114215157,7.224228395061728,5.641512345679012,0,1,0.228877073,satisfy,0
s3-06,76,76,0,1,76,0,0,0,13308,13341,623472,0,6479,3,20,0.0170697,1.0021039975954313,10.362639014126842,6.274545181175763,7.275773970544034,5.61429215509468,0,6,0.279827437,satisfy,0
s3-07,67,67,0,1,67,0,0,0,4435,4442,113421,0,915,3,20,0.0166498,1.0004509582863585,11.149267192784668,6.933709131905299,7.938218714768884,6.214205186020293,0,0,0.324108062,satisfy,0
s3-08,,,,,,,0,1,8385,8384,725802,0,4890,3,20,0.0167961,1,9.678315839694656,5.773492537313433,6.902075381679389,4.882156488549619,0,9,0.251015241,satisfy,0
s3-09,,,,,,,0,1,16367,16546,806181,0,8776,3,20,0.0170919,1.010998411340584,10.014542343883662,6.357173421358274,7.4100574361481115,5.5702676280092875,0,7,0.247861068,satisfy,0
s3-10,62,62,0,1,62,0,0,0,9362,9376,555174,0,4170,3,20,0.0173535,1.00053407391583,10.066225165562914,6.284188034188034,7.292779320657979,5.787331766716513,0,2,0.313666058,satisfy,0
s4-01,76,76,0,1,76,0,0,0,691482,691512,68760636,0,611776,4,30,0.0175408,1.0000260310463613,15.589086917663801,11.175394298043912,12.293299030198906,10.352422767331616,0,0,477.582148923,satisfy,0
s4-02,70,70,0,1,70,0,0,0,713860,713869,25211525,0,213005,4,30,0.0177469,1,15.487860364777408,10.356188888577591,11.372201832292046,10.357175076345502,0,0,495.817999688,satisfy,0
s4-03,,,,,,,0,0,1090784,1090796,63572594,0,600317,4,30,0.0176879,1,15.441512710124094,10.942183787074251,11.942183787074251,10.409644805937747,0,0,599.570441172,satisfy,0
s4-04,82,82,0,1,82,0,0,0,982514,982527,39156872,0,427124,4,30,0.0176521,1,15.415933004516983,11.328060465296169,12.328060465296169,10.803863354618866,0,0,582.89415529,satisfy,0
s4-05,65,65,0,1,65,0,0,0,210697,210710,16420654,0,164671,4,30,0.0333963,1,14.997413347128814,11.227672914184824,12.872276301988164,8.969890411348999,0,0,420.50700192,satisfy,0
s4-06,79,79,0,1,79,0,0,0,947864,947882,22603017,0,364533,4,30,0.0319975,1.0000063300220285,15.446245452934177,11.802993889418735,12.80301287948482,10.399168024104723,0,0,501.156379252,satisfy,0
s4-07,,,,,,,0,0,1140602,1140616,54473400,0,599925,4,30,0.0185321,1.0000026301900224,15.618817080804698,11.257969914133064,12.257996216033288,10.843526488643716,0,0,599.945310273,satisfy,0
s4-08,64,64,0,1,64,0,0,0,606340,606352,28860492,0,374080,4,30,0.0183714,1,15.249917538014975,11.313766203780057,12.313766203780057,10.213066926147047,0,0,583.887727132,satisfy,0
s4-09,55,55,0,1,55,0,0,0,63733,63746,5751829,0,48041,4,30,0.0307547,1,15.676148933833336,11.390111872970047,12.735458867462697,9.699794454991919,0,0,325.028849246,satisfy,0
s4-10,,,,,,,0,0,649486,649498,54742819,0,611490,4,30,0.0315975,1,15.659082720797677,11.062489414706398,12.062489414706398,10.458654997952227,0,0,588.385049483,satisfy,0
s5-01,,,,,,,1,0,,,,,,5,40,0.0185402,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,,,,,,5,40,0.198402,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,,,,,,5,40,0.0334725,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,,,,,,5,40,0.0326111,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,,,,,,5,40,0.0342641,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,,,,,,5,40,0.0379683,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,,,,,,5,40,0.0367743,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,,,,,,5,40,0.0378576,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,,,,,,5,40,0.03308,,,,,,,,,satisfy,0
s5-10,,,,,,,1,0,,,,,,5,40,0.0356498,,,,,,,,,satisfy,0
u3-01,,,,,,,0,1,7630,7633,987003,0,5959,3,20,0.0328672,1.0005243151133831,9.828155721588676,5.768534313082273,6.852798531917682,5.0460086511993705,0,8,0.251598511,satisfy,0
u3-02,,,,,,,0,1,5342,5341,295125,0,2158,3,20,0.0177656,1,9.983898146414528,5.429401837614851,6.421269425201273,5.1143980527991015,0,8,0.321205896,satisfy,0
u3-03,,,,,,,0,1,7766,7765,592847,0,5080,3,20,0.0176401,1,9.774114616870573,5.909641660221706,6.904958145524791,5.479201545396008,0,7,0.325541892,satisfy,0
u3-04,,,,,,,0,1,15874,15876,669305,0,6064,3,20,0.0163147,1.0001890001890001,9.794997794997794,6.256728647967224,7.255528255528255,5.5835695835695835,0,8,0.317275916,satisfy,0
u3-05,,,,,,,0,1,8939,8938,472933,0,3594,3,20,0.0266229,1,10.094987692996195,5.9330347144456885,6.9277243231147905,5.4169836652494965,0,8,0.349018474,satisfy,0
u3-06,,,,,,,0,1,11947,11951,1232609,0,6408,3,20,0.016419,1.000418550142307,9.956219655114683,6.100025131942699,7.365896534404822,4.852084379708689,0,9,0.25721808,satisfy,0
u3-07,,,,,,,0,1,30146,30145,889269,0,5430,3,20,0.0168751,1,10.133355448664787,6.781789222192726,7.780063028694642,6.1843091723337205,0,9,0.314448367,satisfy,0
u3-08,,,,,,,0,1,14992,15122,986985,0,7158,3,20,0.0162925,1.008738576479221,9.688146221065972,6.2785714285714285,7.399039423654193,5.095123740911213,0,11,0.229458083,satisfy,0
u3-09,,,,,,,0,1,9263,9262,525847,0,3357,3,20,0.0167141,1,10.1431656229756,5.9535336070888265,6.94839127618225,5.378427985316346,0,8,0.347609789,satisfy,0
u3-10,,,,,,,0,1,10534,10533,643963,0,7244,3,20,0.0166998,1,10.456944840026583,6.038103382744204,7.044431785816007,5.518750593373208,0,9,0.290922375,satisfy,0
u4-01,,,,,,,0,0,1105545,1105907,76411727,0,788128,4,30,0.018214,1.0003202040622499,15.104459791324642,10.982686367357276,12.079874631968847,10.496285542424777,0,0,411.74938567,satisfy,0
u4-02,,,,,,,0,0,1140127,1140141,58253441,0,602761,4,30,0.0183913,1,15.408302759254013,10.46360975575528,11.46360975575528,10.947032216586399,0,0,597.110829236,satisfy,0
u4-03,,,,,,,0,0,1119020,1119033,68997599,0,643933,4,30,0.0356818,1,15.76929992314704,10.477739450590695,11.477739450590695,10.819659166056013,0,0,555.927302939,satisfy,0
u4-04,,,,,,,0,0,1432192,1432202,77883149,0,718384,4,30,0.0345162,1,15.535300434578604,10.946304685405309,12.057314941013495,10.919006669496827,0,0,481.479133209,satisfy,0
u4-05,,,,,,,0,0,1563270,1563283,79804456,0,737347,4,30,0.0332939,1,15.407670459997313,11.315520031728365,12.315521311097891,10.629050004157952,0,0,462.520203293,satisfy,0
u4-06,,,,,,,0,0,910057,910070,59807864,0,643605,4,30,0.0358472,1,15.07843244983556,10.511953646859482,11.511953646859482,10.38604065459636,0,0,556.253552725,satisfy,0
u4-07,,,,,,,0,0,1672228,1672240,58469441,0,655656,4,30,0.0349068,1,15.287680268480136,10.283321582536342,11.283315433062956,10.4406683777571,0,1,544.211446985,satisfy,0
u4-08,,,,,,,0,0,2443909,2446109,66750152,0,736831,4,30,0.0340133,1.0008952870176426,15.600305494189842,11.109963996204442,12.110165313029249,11.177234504230722,0,0,463.033649243,satisfy,0
u4-09,,,,,,,0,0,1023945,1023957,61285461,0,642415,4,30,0.0354488,1,15.60948586105699,11.176270209825724,12.176286812279956,10.632962707957947,0,0,557.449788828,satisfy,0
u4-10,,,,,,,0,0,1954691,1954704,70585925,0,737463,4,30,0.0376444,1,15.065743895070883,11.24013360679514,12.24013360679514,10.810641681984519,0,0,462.396319148,satisfy,0
u5-01,,,,,,,1,0,,,,,,5,40,0.0347637,,,,,,,,,satisfy,0
u5-02,,,,,,,1,0,,,,,,5,40,0.034446,,,,,,,,,satisfy,0
u5-03,,,,,,,1,0,,,,,,5,40,0.0332571,,,,,,,,,satisfy,0
u5-04,,,,,,,1,0,,,,,,5,40,0.033139,,,,,,,,,satisfy,0
u5-05,,,,,,,1,0,,,,,,5,40,0.037317,,,,,,,,,satisfy,0
u5-06,,,,,,,1,0,,,,,,5,40,0.0361457,,,,,,,,,satisfy,0
u5-07,,,,,,,1,0,,,,,,5,40,0.0391227,,,,,,,,,satisfy,0
u5-08,,,,,,,1,0,,,,,,5,40,0.0326254,,,,,,,,,satisfy,0
u5-09,,,,,,,1,0,,,,,,5,40,0.0323697,,,,,,,,,satisfy,0
u5-10,,,,,,,1,0,,,,,,5,40,0.0334147,,,,,,,,,satisfy,0
