Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
qcp-10-67-0,383,383,0,1,383,0,0,0,15,95,1098,0,8,20,67,0.0362828,4.8,2,5,8.066666666666666,0.26666666666666666,0.13333333333333333,0,satisfy,0
qcp-10-67-1,345,345,0,1,345,0,0,0,30,90,1379,0,9,20,67,0.0388375,2.4,2,3.7666666666666666,6.733333333333333,0.43333333333333335,0.36666666666666664,0,satisfy,0
qcp-10-67-10,,,,,,,0,1,43,158,1766,0,11,20,67,0.0344979,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,satisfy,0
qcp-10-67-11,,,,,,,0,1,201,569,7018,0,44,20,67,0.0347056,2.845,2.495,4.391752577319588,8.46,0.44,0.285,6,satisfy,0
qcp-10-67-12,,,,,,,0,1,184,601,6495,0,47,20,67,0.0349327,3.2841530054644807,2.3224043715846996,3.9775280898876404,7.939890710382514,0.24043715846994534,0.31693989071038253,5,satisfy,0
qcp-10-67-13,,,,,,,1,0,,,,,,20,67,0.0310134,,,,,,,,satisfy,0
qcp-10-67-14,,,,,,,0,1,18,79,1171,0,10,20,67,0.0360662,4.647058823529412,2,1.9230769230769231,3.6470588235294117,0.35294117647058826,0.23529411764705882,4,satisfy,0
qcp-10-67-2,69,69,0,1,69,0,0,0,2,16,623,0,3,20,67,0.0349982,1,2,3.5,8,0,0.5,0,satisfy,0
qcp-10-67-3,777,777,0,1,777,0,0,0,73,176,2650,0,13,20,67,0.0333641,2.1506849315068495,2.9863013698630136,5.109589041095891,11.945205479452055,0.3150684931506849,0.2876712328767123,0,satisfy,0
qcp-10-67-4,503,503,0,1,503,0,0,0,26,68,1225,0,7,20,67,0.0312399,1.8461538461538463,2,5.115384615384615,9.153846153846153,0.34615384615384615,0.4230769230769231,0,satisfy,0
qcp-10-67-5,0,0,0,1,0,0,0,0,0,20,576,0,2,20,67,0.0316064,0,0,0,0,0,0,0,satisfy,0
qcp-10-67-6,347,347,0,1,347,0,0,0,19,55,968,0,4,20,67,0.0332449,1.4736842105263157,2.9473684210526314,4.894736842105263,9.473684210526315,0.3684210526315789,0.47368421052631576,0,satisfy,0
qcp-10-67-7,554,554,0,1,554,0,0,0,54,158,1985,0,11,20,67,0.0342202,2.4444444444444446,2.4444444444444446,3.0754716981132075,5.962962962962963,0.2777777777777778,0.5,1,satisfy,0
qcp-10-67-8,43,43,0,1,43,0,0,0,1,23,576,0,2,20,67,0.0332312,1,2,5,7,0,0,0,satisfy,0
qcp-10-67-9,262,262,0,1,262,0,0,0,10,37,748,0,4,20,67,0.0350202,1.8,2,4.1,8,0.1,0.5,0,satisfy,0
qcp-15-120-0,2019,2019,0,1,2019,0,0,0,59,190,4711,0,33,30,120,0.0418343,2.6779661016949152,2.2033898305084745,9.135593220338983,19.440677966101696,0.4406779661016949,0.4745762711864407,0,satisfy,0
qcp-15-120-1,2640,2640,0,1,2640,0,0,0,513,871,28357,0,185,30,120,0.0354825,1.6627680311890838,3.7134502923976607,8.842105263157896,25.596491228070175,0.7894736842105263,0.5594541910331384,0,satisfy,0
qcp-15-120-10,,,,,,,0,1,6979,11108,418365,0,2882,30,120,0.0331887,1.5918601318429348,4.4777873316136425,5.5039517172007475,19.946116365720837,3.1243909429636,0.7527944969905417,19,satisfy,0
qcp-15-120-11,,,,,,,1,0,,,,,,30,120,0.0354494,,,,,,,,satisfy,0
qcp-15-120-12,,,,,,,0,1,2075,3631,109097,0,785,30,120,0.0375431,1.7507232401157184,3.856798457087753,6.590425531914893,18.280617164898747,1.4247830279652844,0.6634522661523626,6,satisfy,0
qcp-15-120-13,,,,,,,0,1,2434,3650,136411,0,854,30,120,0.0360224,1.5002055076037812,3.9498561446773532,5.320544554455446,19.872174270448006,2.1833127825729552,0.6736539251952323,9,satisfy,0
qcp-15-120-14,,,,,,,0,1,100,309,6196,0,45,30,120,0.0336799,3.121212121212121,2.595959595959596,4.1875,8.383838383838384,0.6868686868686869,0.494949494949495,3,satisfy,0
qcp-15-120-2,1282,1282,0,1,1282,0,0,0,60,176,4501,0,23,30,120,0.0316792,2.566666666666667,2.15,6.783333333333333,15.8,0.2833333333333333,0.4666666666666667,0,satisfy,0
qcp-15-120-3,2913,2913,0,1,2913,0,0,0,1477,2441,80821,0,526,30,120,0.0331754,1.6425186188219363,4.304671631685849,6.686526743398781,26.303994583615438,2.2098849018280298,0.8788083953960731,0,satisfy,0
qcp-15-120-4,2957,2957,0,1,2957,0,0,0,1063,1697,64296,0,385,30,120,0.0322972,1.5785512699905926,3.9793038570084667,7.625587958607714,27.08184383819379,2.105362182502352,1.0141110065851364,0,satisfy,0
qcp-15-120-5,3281,3281,0,1,3281,0,0,0,2446,3941,143125,0,851,30,120,0.0413922,1.6034341782502044,3.743254292722813,4.920245398773006,18.698282910874898,1.3859362224039247,0.5134914145543745,1,satisfy,0
qcp-15-120-6,3186,3186,0,1,3186,0,0,0,3862,5635,227227,0,1604,30,120,0.0413981,1.4541688244432935,4.78379078197825,9.001294665976179,30.33894355256344,2.577679958570689,0.9114448472294148,0,satisfy,0
