Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
qcp-10-67-0_ext,153.22055137844612,20277,146,399,1304,0,0,0,133,929,39662,0,426,20,67,0.153873,6.81203007518797,9.676691729323307,4.3007518796992485,7.962406015037594,0.3383458646616541,0.5789473684210527,0,0.258234651,satisfy,0
qcp-10-67-10_ext,,,,,,,0,1,43,158,8029,0,58,20,67,0.0581928,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.21791028,satisfy,0
qcp-10-67-11_ext,,,,,,,0,1,221,616,33461,0,257,20,67,0.0632455,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.198337538,satisfy,0
qcp-10-67-12_ext,,,,,,,0,1,185,604,28298,0,243,20,67,0.064663,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.297750986,satisfy,0
qcp-10-67-13_ext,,,,,,,0,1,8,24,1341,0,10,20,67,0.0690371,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.190680753,satisfy,0
qcp-10-67-14_ext,,,,,,,0,1,19,83,4626,0,29,20,67,0.0753102,4.611111111111111,2.388888888888889,1.9285714285714286,3.6666666666666665,0.3333333333333333,0.2222222222222222,4,0.252563635,satisfy,0
qcp-10-67-1_ext,83.92142857142858,8070,99,140,1008,0,0,0,106,450,23313,0,226,20,67,0.0601267,4.0754716981132075,10.226415094339623,4.264150943396227,8.49056603773585,0.3018867924528302,0.5754716981132075,0,0.124727516,satisfy,0
qcp-10-67-2_ext,59.925081433224754,9349,172,307,1045,0,0,0,128,526,31027,0,347,20,67,0.0558861,4,12.5234375,4.09375,8.6875,0.265625,0.6328125,0,0.231061422,satisfy,0
qcp-10-67-3_ext,91.1236559139785,10809,134,186,1453,0,0,0,161,435,21073,0,165,20,67,0.0690739,2.590062111801242,6.801242236024844,4.583850931677019,10.062111801242237,0.2981366459627329,0.515527950310559,0,0.113744644,satisfy,0
qcp-10-67-4_ext,157.01807228915663,14006,102,166,1094,0,0,0,104,497,25961,0,211,20,67,0.0647484,4.5673076923076925,7.384615384615385,4.605769230769231,8.221153846153847,0.33653846153846156,0.5192307692307693,0,0.1451818,satisfy,0
