Filename,11AutonomousSearchAverageSizeOfHeap,11AutonomousSearchNumAssignedPredicatesEncountered,11AutonomousSearchNumBackupCalled,11AutonomousSearchNumCalls,11AutonomousSearchNumPredicatesAdded,11AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,37,37,0,1,37,0,0,0,2875,2883,12544,0,66,3,20,0.0203347,1,10.398260869565217,6.964173913043478,7.964173913043478,5.9499130434782606,0,0,0.122474565,satisfy,0
s3-02,37,37,0,1,37,0,0,0,1761,1770,8521,0,40,3,20,0.0193581,1,10.175468483816013,6.7666098807495745,7.7666098807495745,5.286201022146508,0,0,0.120229691,satisfy,0
s3-03,36,36,0,1,36,0,0,0,1560,1569,6983,0,50,3,20,0.0209962,1,10.528846153846153,7.048076923076923,8.048076923076923,5.822435897435898,0,0,0.126021746,satisfy,0
s3-04,39,39,0,1,39,0,0,0,3947,3953,19972,0,123,3,20,0.0191777,1,9.735748669875855,5.4644850329781836,6.457562705852546,5.116290853813022,0,5,0.121135831,satisfy,0
s3-05,6727,6727,0,1,6727,0,0,0,7309,7311,266070,0,23279,3,20,0.0197117,1.0001368176221097,10.329867286906554,6.296960569550931,12.018196743740594,5.294431522780134,0,5,1.616064486,satisfy,0
s3-06,39,39,0,1,39,0,0,0,16982,16987,74791,0,671,3,20,0.0211079,1,10.124602520315628,6.359978793590952,7.357731715934519,5.758567895418679,0,6,0.1273275,satisfy,0
s3-07,37,37,0,1,37,0,0,0,4775,4780,21374,0,134,3,20,0.0229155,1,10.873089005235602,6.977591623036649,7.977591623036649,6.305549738219895,0,0,0.120614345,satisfy,0
s3-08,2377,2377,0,1,2377,0,0,0,1098,1116,68725,0,4052,3,20,0.0249725,1.0100182149362478,9.94535519125683,5.735883424408015,11.79417122040073,7.173952641165756,0,0,1.210777395,satisfy,0
s3-09,3945,3945,0,1,3945,0,0,0,2903,2906,141781,0,7356,3,20,0.0189698,1,9.719944884602135,6.169824319669307,13.319324836376163,7.75060282466414,0.0006889424733034792,0,1.373831122,satisfy,0
s3-10,39,39,0,1,39,0,0,0,9814,9823,40448,0,329,3,20,0.0191305,1,9.909517016507031,6.347737464329392,7.346443855716323,5.884654575096801,0,2,0.122689852,satisfy,0
s4-01,203,203,0,1,203,0,0,0,1374795,1375383,6592224,0,527933,4,30,0.0200759,1.0004160620310665,15.596281627442638,12.58784473321477,15.609890201811906,7.953315221542121,0,0,186.229584412,satisfy,0
s4-02,,,,,,,1,0,,,,,,4,30,0.0345911,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,,,,,,4,30,0.0369053,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,,,,,,4,30,0.03676,,,,,,,,,satisfy,0
s4-05,,,,,,,1,0,,,,,,4,30,0.0365196,,,,,,,,,satisfy,0
s4-06,,,,,,,1,0,,,,,,4,30,0.0448416,,,,,,,,,satisfy,0
s4-07,,,,,,,1,0,,,,,,4,30,0.035574,,,,,,,,,satisfy,0
s4-08,,,,,,,1,0,,,,,,4,30,0.0369154,,,,,,,,,satisfy,0
s4-09,,,,,,,1,0,,,,,,4,30,0.0451647,,,,,,,,,satisfy,0
s4-10,,,,,,,1,0,,,,,,4,30,0.0356946,,,,,,,,,satisfy,0
s5-01,,,,,,,1,0,,,,,,5,40,0.0505546,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,,,,,,5,40,0.0450775,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,,,,,,5,40,0.046862,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,,,,,,5,40,0.0454856,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,,,,,,5,40,0.0418236,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,,,,,,5,40,0.083544,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,,,,,,5,40,0.04831,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,,,,,,5,40,0.0537174,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,,,,,,5,40,0.0391214,,,,,,,,,satisfy,0
s5-10,,,,,,,1,0,,,,,,5,40,0.0351615,,,,,,,,,satisfy,0
u3-01,,,,,,,0,1,5123,5122,259454,0,18956,3,20,0.0375847,1,9.596056228035923,5.307902973395931,10.036899648574776,6.468176493557205,0,10,1.354641532,satisfy,0
u3-02,,,,,,,0,1,5484,5483,30503,0,157,3,20,0.0163384,1,9.968995075688492,5.465205479452055,6.45723144264089,5.158672259711836,0,8,0.095999689,satisfy,0
u3-03,,,,,,,0,1,7913,7912,34948,0,218,3,20,0.0156605,1,9.75947927199191,5.91562302340291,6.910389282103134,5.512639029322548,0,7,0.091415735,satisfy,0
u3-04,,,,,,,0,1,16502,16501,67368,0,514,3,20,0.0174072,1,9.75977213502212,6.276359667737828,7.273316768680686,5.630264832434398,0,8,0.108283183,satisfy,0
u3-05,,,,,,,0,1,9254,9253,45467,0,244,3,20,0.0220922,1,10.087214957311142,5.959978366684695,6.95482546201232,5.45466335242624,0,8,0.114991876,satisfy,0
u3-06,,,,,,,0,1,5215,5252,395756,0,10588,3,20,0.0178919,1.0072880705792098,9.37149980820867,4.926125432858792,9.90928270042194,9.060222477943997,0,16,1.108382898,satisfy,0
u3-07,,,,,,,0,1,30366,30365,111029,0,842,3,20,0.0180064,1,10.13403589659147,6.7880155488206615,7.7860036225917995,6.1924584225259345,0,9,0.105406447,satisfy,0
u3-08,,,,,,,0,1,7157,7201,270757,0,9937,3,20,0.0162642,1.0062884292901062,9.45612073784237,5.444460008404539,10.726103968697597,10.108160983789826,0,17,1.024902774,satisfy,0
u3-09,,,,,,,0,1,9278,9277,45733,0,270,3,20,0.0162607,1,10.143473105529806,5.95619807962024,6.951061765657001,5.381265495310984,0,8,0.098766091,satisfy,0
u3-10,,,,,,,0,1,12073,12072,58031,0,347,3,20,0.0166159,1,10.413767395626243,6.164718560888668,7.160122597746852,5.747846255798542,0,9,0.09431088,satisfy,0
u4-01,,,,,,,0,0,3467514,3481859,17256515,0,1067066,4,30,0.02474,1.0041335089058039,15.014453870986534,11.008280574578956,15.432143028117551,7.173133547550204,1.2977597206528943e-05,1,132.813976453,satisfy,0
u4-02,,,,,,,1,0,,,,,,4,30,0.0336233,,,,,,,,,satisfy,0
u4-03,,,,,,,1,0,,,,,,4,30,0.0286665,,,,,,,,,satisfy,0
u4-04,,,,,,,1,0,,,,,,4,30,0.0296462,,,,,,,,,satisfy,0
u4-05,,,,,,,1,0,,,,,,4,30,0.0296313,,,,,,,,,satisfy,0
u4-06,,,,,,,1,0,,,,,,4,30,0.0304592,,,,,,,,,satisfy,0
u4-07,,,,,,,1,0,,,,,,4,30,0.0312821,,,,,,,,,satisfy,0
u4-08,,,,,,,1,0,,,,,,4,30,0.0301547,,,,,,,,,satisfy,0
u4-09,,,,,,,1,0,,,,,,4,30,0.028752,,,,,,,,,satisfy,0
u4-10,,,,,,,1,0,,,,,,4,30,0.031245,,,,,,,,,satisfy,0
u5-01,,,,,,,1,0,,,,,,5,40,0.0292494,,,,,,,,,satisfy,0
u5-02,,,,,,,1,0,,,,,,5,40,0.0332121,,,,,,,,,satisfy,0
u5-03,,,,,,,1,0,,,,,,5,40,0.0305011,,,,,,,,,satisfy,0
u5-04,,,,,,,1,0,,,,,,5,40,0.0300313,,,,,,,,,satisfy,0
u5-05,,,,,,,1,0,,,,,,5,40,0.0286111,,,,,,,,,satisfy,0
u5-06,,,,,,,1,0,,,,,,5,40,0.0304769,,,,,,,,,satisfy,0
u5-07,,,,,,,1,0,,,,,,5,40,0.030726,,,,,,,,,satisfy,0
u5-08,,,,,,,1,0,,,,,,5,40,0.0340044,,,,,,,,,satisfy,0
u5-09,,,,,,,1,0,,,,,,5,40,0.0326798,,,,,,,,,satisfy,0
u5-10,,,,,,,1,0,,,,,,5,40,0.0298481,,,,,,,,,satisfy,0
