Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
qcp-10-67-0_ext,150.2377049180328,19562,147,244,1061,0,0,0,127,814,39781,0,307,20,67,0.227852,6.228346456692913,7.433070866141732,3.8503937007874014,6.653543307086614,0.4015748031496063,0.5669291338582677,0,0.318874561,satisfy,0
qcp-10-67-10_ext,,,,,,,0,1,43,158,8029,0,66,20,67,0.0506975,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.176610888,satisfy,0
qcp-10-67-11_ext,,,,,,,0,1,221,616,33461,0,338,20,67,0.0510943,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.177129433,satisfy,0
qcp-10-67-12_ext,,,,,,,0,1,185,604,28298,0,190,20,67,0.0581467,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.264816746,satisfy,0
qcp-10-67-13_ext,,,,,,,0,1,8,24,1341,0,10,20,67,0.0549144,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.175757559,satisfy,0
qcp-10-67-14_ext,,,,,,,0,1,25,73,4263,0,26,20,67,0.0502948,3.0416666666666665,2,1.588235294117647,3.125,0.20833333333333334,0.3333333333333333,7,0.144509581,satisfy,0
qcp-10-67-1_ext,71.96153846153847,6236,83,130,767,0,0,0,91,401,19414,0,133,20,67,0.0496415,4.164835164835165,6.7032967032967035,4,7.043956043956044,0.43956043956043955,0.5824175824175825,0,0.126737709,satisfy,0
qcp-10-67-2_ext,57.36764705882353,8765,138,272,853,0,0,0,115,469,28063,0,256,20,67,0.062954,3.9565217391304346,9.756521739130434,3.5304347826086957,7.391304347826087,0.6,0.6260869565217392,0,0.236521494,satisfy,0
qcp-10-67-3_ext,115.9753086419753,13674,117,162,1354,0,0,0,160,456,25069,0,209,20,67,0.0644152,2.7375,5.83125,4.21875,9.575,0.275,0.51875,0,0.131340589,satisfy,0
qcp-10-67-4_ext,142.04827586206898,15886,115,145,940,0,0,0,96,515,28904,0,234,20,67,0.0534464,5.135416666666667,5.75,4,6.927083333333333,0.16666666666666666,0.5,0,0.134238557,satisfy,0
qcp-10-67-5_ext,23.94736842105263,3322,142,190,496,0,0,0,82,374,15106,0,104,20,67,0.0648688,4.304878048780488,7.158536585365853,3.158536585365854,5.878048780487805,0.2073170731707317,0.5121951219512195,0,0.214516618,satisfy,0
qcp-10-67-6_ext,139.32575757575756,13781,125,264,928,0,0,0,94,618,27438,0,235,20,67,0.0657864,6.25531914893617,8.351063829787234,4.617021276595745,8.436170212765957,0.2127659574468085,0.46808510638297873,0,0.205140619,satisfy,0
qcp-10-67-7_ext,123.69281045751634,11740,100,153,913,0,0,0,119,576,29673,0,238,20,67,0.0558888,4.5966386554621845,5.151260504201681,3.483050847457627,6.168067226890757,0.15966386554621848,0.4957983193277311,1,0.129547095,satisfy,0
qcp-10-67-8_ext,89.98136645962732,13426,183,322,895,0,0,0,133,702,46550,0,358,20,67,0.0520187,5.097744360902255,9.796992481203008,3.7593984962406015,7.2406015037593985,0.3383458646616541,0.8646616541353384,0,0.31034177,satisfy,0
qcp-10-67-9_ext,112.6840490797546,15766,135,326,1221,0,0,0,131,723,38278,0,324,20,67,0.0551309,5.343511450381679,10.320610687022901,4.702290076335878,8.946564885496183,0.22137404580152673,0.5877862595419847,0,0.231996389,satisfy,0
qcp-15-120-0_ext,416.86721991701245,103227,304,964,4190,0,0,0,332,1716,124521,0,1397,30,120,0.0564531,5.072289156626506,9.647590361445783,4.936746987951807,10.737951807228916,0.5572289156626506,0.608433734939759,0,8.844919658,satisfy,0
qcp-15-120-10_ext,,,,,,,0,1,5316,8811,1159042,0,9119,30,120,0.064257,1.657761053621825,4.360865475070555,5.546362608367885,20.57008466603951,2.5969896519285043,0.6735653809971778,9,9.202582929,satisfy,0
qcp-15-120-11_ext,,,,,,,0,1,44,127,13556,0,88,30,120,0.0520597,2.953488372093023,2.3255813953488373,3.85,7.883720930232558,0.4883720930232558,0.4883720930232558,3,2.734140438,satisfy,0
qcp-15-120-12_ext,,,,,,,0,1,1572,2734,339160,0,2831,30,120,0.060725,1.740292807129217,3.949713558243157,6.0140575079872205,20.502227880331,1.5983450031826862,0.5754296626352642,6,6.56804842,satisfy,0
qcp-15-120-13_ext,,,,,,,0,1,3398,4979,635864,0,4958,30,120,0.0548785,1.4657050338534001,4.097144539299382,4.960743801652892,21.239623196938474,2.6970856638210186,0.7044450986164262,9,4.876032724,satisfy,0
qcp-15-120-14_ext,,,,,,,0,1,102,307,32567,0,251,30,120,0.0520195,3.0396039603960396,2.613861386138614,4.23469387755102,8.455445544554456,0.693069306930693,0.5148514851485149,3,5.662817753,satisfy,0
qcp-15-120-1_ext,340.34496919917865,101394,336,487,4150,0,0,0,716,1487,205385,0,1810,30,120,0.0560967,2.053072625698324,4.801675977653631,6.935754189944134,19.54189944134078,0.7905027932960894,0.5139664804469274,0,5.463278538,satisfy,0
qcp-15-120-2_ext,509.5191489361702,126486,296,705,3373,0,0,0,357,1850,164191,0,1418,30,120,0.0552792,5.106442577030812,8.092436974789916,5.266106442577031,11.170868347338935,0.31932773109243695,0.5994397759103641,0,5.149591071,satisfy,0
qcp-15-120-3_ext,178.5414847161572,62781,323,687,4741,0,0,0,1750,3290,374475,0,3059,30,120,0.0561914,1.8742857142857143,5.381714285714286,6.252,25.214285714285715,1.6857142857142857,0.8057142857142857,0,4.203866537,satisfy,0
qcp-15-120-4_ext,595.8007699711261,139555,321,1039,4641,0,0,0,1448,3407,313469,0,2764,30,120,0.0535907,2.338397790055249,5.181629834254144,7.532458563535911,24.447513812154696,1.8805248618784531,0.9924033149171271,0,6.429853377,satisfy,0
