Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,,,,,,,0,1,586,589,116532,0,7361,3,20,0.0204218,1.0068376068376068,9.121367521367521,3.7474048442906573,4.736752136752137,3.0273504273504273,0,7,0.184620973,satisfy,0
s3-02,73,73,0,1,73,0,0,0,100,110,19037,0,1155,3,20,0.0214388,1.03,9.98,5.02,6.14,2.62,0,0,0.161527796,satisfy,0
s3-03,70,70,0,1,70,0,0,0,85,91,16629,0,1143,3,20,0.019329,1.011764705882353,9.894117647058824,4.952941176470588,6,2.9647058823529413,0,0,0.172645107,satisfy,0
s3-04,77,77,0,1,77,0,0,0,666,672,132096,0,8548,3,20,0.0213647,1.003003003003003,9.492492492492492,3.9167927382753405,4.921921921921922,3.1936936936936937,0,5,0.163323778,satisfy,0
s3-05,,,,,,,0,1,552,561,157175,0,7608,3,20,0.0209992,1.0181488203266789,9.18693284936479,3.7095588235294117,4.705989110707804,2.8112522686025407,0,7,0.051520606,satisfy,0
s3-06,78,78,0,1,78,0,0,0,573,578,106988,0,6651,3,20,0.0214378,1.006980802792321,9.516579406631763,3.765432098765432,4.7539267015706805,3.0837696335078535,0,6,0.151155014,satisfy,0
s3-07,72,72,0,1,72,0,0,0,165,170,34038,0,2203,3,20,0.024885,1.0121212121212122,9.963636363636363,4.733333333333333,5.739393939393939,2.993939393939394,0,0,0.182892545,satisfy,0
s3-08,78,78,0,1,78,0,0,0,336,341,115464,0,5339,3,20,0.0216723,1.005952380952381,9.255952380952381,3.8656716417910446,4.928571428571429,2.7886904761904763,0,1,0.059138745,satisfy,0
s3-09,78,78,0,1,78,0,0,0,181,186,70712,0,3007,3,20,0.020925,1,9.07182320441989,3.6166666666666667,4.607734806629834,2.856353591160221,0,1,0.053320719,satisfy,0
s3-10,78,78,0,1,78,0,0,0,424,429,79233,0,4354,3,20,0.020955,1.0023584905660377,9.64622641509434,3.8056872037914693,4.851415094339623,3.186320754716981,0,2,0.165439431,satisfy,0
s4-01,,,,,,,1,0,,,,,,4,30,0.0205255,,,,,,,,42.559422293,satisfy,0
s4-02,,,,,,,1,0,,,,,,4,30,0.0220239,,,,,,,,78.980541588,satisfy,0
s4-03,,,,,,,1,0,,,,,,4,30,0.0211699,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,,,,,,4,30,0.0449396,,,,,,,,,satisfy,0
s4-05,,,,,,,1,0,,,,,,4,30,0.0408879,,,,,,,,,satisfy,0
s4-06,,,,,,,1,0,,,,,,4,30,0.0413938,,,,,,,,8.515080378,satisfy,0
s4-07,,,,,,,1,0,,,,,,4,30,0.0177534,,,,,,,,,satisfy,0
s4-08,,,,,,,1,0,,,,,,4,30,0.0361204,,,,,,,,7.617742135,satisfy,0
s4-09,,,,,,,1,0,,,,,,4,30,0.0165695,,,,,,,,57.183440311,satisfy,0
s4-10,,,,,,,0,0,3595,3607,1860727,0,1192524,4,30,0.0161944,1.0005563282336578,15.485118219749653,10.139638386648123,11.164951321279554,6.465090403337969,0,0,7.447174742,satisfy,0
s5-01,,,,,,,1,0,,,,,,5,40,0.0155847,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,,,,,,5,40,0.0327782,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,,,,,,5,40,0.0359337,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,,,,,,5,40,0.029519,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,,,,,,5,40,0.0287735,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,,,,,,5,40,0.0325255,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,,,,,,5,40,0.030996,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,,,,,,5,40,0.0464569,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,,,,,,5,40,0.0461108,,,,,,,,,satisfy,0
s5-10,,,,,,,1,0,,,,,,5,40,0.0359045,,,,,,,,,satisfy,0
u3-01,,,,,,,0,1,506,508,165577,0,7801,3,20,0.0323162,1.005940594059406,9.207920792079207,3.678714859437751,4.655445544554455,2.875247524752475,0,7,0.044383479,satisfy,0
u3-02,,,,,,,0,1,697,700,130134,0,6961,3,20,0.0230446,1.0057471264367817,9.522988505747126,3.9507246376811596,4.938218390804598,3.1594827586206895,0,6,0.161596234,satisfy,0
u3-03,,,,,,,0,1,637,648,128923,0,7204,3,20,0.0185372,1.0188679245283019,9.378930817610064,3.8793650793650793,4.861635220125786,3.029874213836478,0,6,0.151244683,satisfy,0
u3-04,,,,,,,0,1,712,712,122916,0,6824,3,20,0.0182375,1.0014064697609002,9.236286919831224,3.8764204545454546,4.8691983122362865,3.021097046413502,0,7,0.175659205,satisfy,0
u3-05,,,,,,,1,0,,,,,,3,20,0.0172618,,,,,,,,0.140941698,satisfy,0
u3-06,,,,,,,0,1,415,416,127568,0,4613,3,20,0.0171287,1.0048309178743962,8.804347826086957,3.4742014742014744,4.427536231884058,2.4444444444444446,0,7,0.050632285,satisfy,0
u3-07,,,,,,,0,1,612,614,117788,0,5693,3,20,0.0170186,1.004909983633388,9.409165302782323,3.8228476821192054,4.824877250409165,3.044189852700491,0,7,0.139507097,satisfy,0
u3-08,,,,,,,1,0,,,,,,3,20,0.0188419,,,,,,,,0.060133997,satisfy,0
u3-09,,,,,,,0,1,581,583,118558,0,5471,3,20,0.0175608,1.0051724137931035,9.424137931034483,3.8464223385689356,4.8293103448275865,2.9689655172413794,0,7,0.144735494,satisfy,0
u3-10,,,,,,,0,1,582,586,130753,0,5769,3,20,0.0171764,1.008605851979346,9.483648881239242,3.7417102966841185,4.709122203098107,2.9776247848537003,0,8,0.136384341,satisfy,0
u4-01,,,,,,,1,0,,,,,,4,30,0.0203203,,,,,,,,147.965135359,satisfy,0
u4-02,,,,,,,1,0,,,,,,4,30,0.0363314,,,,,,,,148.780806256,satisfy,0
u4-03,,,,,,,1,0,,,,,,4,30,0.0339972,,,,,,,,7.991273372,satisfy,0
u4-04,,,,,,,1,0,,,,,,4,30,0.0178475,,,,,,,,148.696825259,satisfy,0
u4-05,,,,,,,1,0,,,,,,4,30,0.0355707,,,,,,,,209.321454096,satisfy,0
u4-06,,,,,,,1,0,,,,,,4,30,0.0183601,,,,,,,,152.361712399,satisfy,0
u4-07,,,,,,,1,0,,,,,,4,30,0.018317,,,,,,,,8.28968502,satisfy,0
u4-08,,,,,,,1,0,,,,,,4,30,0.0180052,,,,,,,,7.039211054,satisfy,0
u4-09,,,,,,,1,0,,,,,,4,30,0.0184489,,,,,,,,8.140509875,satisfy,0
u4-10,,,,,,,1,0,,,,,,4,30,0.0176884,,,,,,,,7.343987201,satisfy,0
u5-01,,,,,,,1,0,,,,,,5,40,0.0196433,,,,,,,,,satisfy,0
u5-02,,,,,,,1,0,,,,,,5,40,0.0365266,,,,,,,,,satisfy,0
u5-03,,,,,,,1,0,,,,,,5,40,0.0345225,,,,,,,,,satisfy,0
u5-04,,,,,,,1,0,,,,,,5,40,0.0440381,,,,,,,,,satisfy,0
u5-05,,,,,,,1,0,,,,,,5,40,0.0369725,,,,,,,,,satisfy,0
u5-06,,,,,,,1,0,,,,,,5,40,0.0346884,,,,,,,,,satisfy,0
u5-07,,,,,,,1,0,,,,,,5,40,0.032016,,,,,,,,,satisfy,0
u5-08,,,,,,,1,0,,,,,,5,40,0.0374929,,,,,,,,,satisfy,0
u5-09,,,,,,,1,0,,,,,,5,40,0.0438148,,,,,,,,,satisfy,0
u5-10,,,,,,,1,0,,,,,,5,40,0.0516832,,,,,,,,,satisfy,0
