Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,61,61,0,1,61,0,0,0,0,2635,2643,11616,0,216,3,20,0.0396683,1,10.4,6.904743833017077,7.904743833017077,5.9574952561669825,0,0,0.350012103,satisfy,0
s3-02,61,61,0,1,61,0,0,0,0,1684,1693,8206,0,112,3,20,0.0227523,1,10.188242280285035,6.772565320665083,7.772565320665083,5.255938242280285,0,0,0.36099656,satisfy,0
s3-03,36,36,0,1,36,0,0,0,0,1560,1569,6983,0,71,3,20,0.021364,1,10.528846153846153,7.048076923076923,8.048076923076923,5.822435897435898,0,0,0.373439187,satisfy,0
s3-04,73,73,0,1,73,0,0,0,0,3393,3399,17687,0,560,3,20,0.0256096,1.0002947244326554,9.77836722664309,5.409976387249115,6.404361921603301,5.145593869731801,0,5,0.368531768,satisfy,0
s3-05,72,72,0,1,72,0,0,0,0,4745,4749,22303,0,1805,3,20,0.01845,1,10.236670179135933,6.118676222596965,7.167334035827187,5.80927291886196,0,1,0.266646229,satisfy,0
s3-06,73,73,0,1,73,0,0,0,0,15015,15021,67048,0,1602,3,20,0.0210698,1.0000666000666,10.132667332667333,6.308614831101339,7.307425907425907,5.752314352314352,0,6,0.393794336,satisfy,0
s3-07,69,69,0,1,69,0,0,0,0,4082,4087,18571,0,407,3,20,0.0244249,1,10.863547280744733,6.956638902498775,7.962273395394415,6.226359627633513,0,0,0.378685254,satisfy,0
s3-08,73,73,0,1,73,0,0,0,0,4299,4303,22266,0,1492,3,20,0.0204656,1.0002326122354035,9.93905559432426,5.9125174499767335,7.013258897418004,5.208187950686206,0,1,0.310610508,satisfy,0
s3-09,72,72,0,1,72,0,0,0,0,7184,7292,29635,0,1331,3,20,0.0206858,1.0141982182628062,10.17608574610245,6.550048726158987,7.629871937639198,6.2328786191536745,0,1,0.306377216,satisfy,0
s3-10,73,73,0,1,73,0,0,0,0,8187,8197,34860,0,988,3,20,0.0186236,1.0001221448638085,9.926835226578723,6.2656078191814295,7.273360205203371,5.84524245755466,0,2,0.386693877,satisfy,0
s4-01,,,,,,,1,0,0,,,,,,4,30,0.0200986,,,,,,,,,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.045121,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.0323901,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.0349688,,,,,,,,,satisfy,0
s4-05,,,,,,,1,0,0,,,,,,4,30,0.034676,,,,,,,,,satisfy,0
s4-06,,,,,,,1,0,0,,,,,,4,30,0.0420466,,,,,,,,,satisfy,0
s4-07,,,,,,,1,0,0,,,,,,4,30,0.0377909,,,,,,,,,satisfy,0
s4-08,,,,,,,1,0,0,,,,,,4,30,0.0403322,,,,,,,,,satisfy,0
s4-09,,,,,,,1,0,0,,,,,,4,30,0.0336582,,,,,,,,,satisfy,0
s4-10,,,,,,,1,0,0,,,,,,4,30,0.0357857,,,,,,,,,satisfy,0
s5-01,,,,,,,1,0,0,,,,,,5,40,0.0338454,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,0,,,,,,5,40,0.0363715,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,0,,,,,,5,40,0.0343081,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,0,,,,,,5,40,0.0341635,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,0,,,,,,5,40,0.0328294,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,0,,,,,,5,40,0.0377498,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,0,,,,,,5,40,0.0379104,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,0,,,,,,5,40,0.0327237,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,0,,,,,,5,40,0.0347946,,,,,,,,,satisfy,0
s5-10,,,,,,,1,0,0,,,,,,5,40,0.0475226,,,,,,,,,satisfy,0
u3-01,,,,,,,0,0,0,5060,5060,26172,0,2102,3,20,0.0317327,1.000197667523226,9.85708638070765,5.699663432983567,6.787112077485669,5.159122356196876,0,8,0.229989202,satisfy,0
u3-02,,,,,,,0,0,0,4639,4638,26458,0,838,3,20,0.0186316,1,9.986847779215179,5.40561555075594,6.4064251832686505,5.106727037516171,0,8,0.292791788,satisfy,0
u3-03,,,,,,,0,0,0,7092,7091,31954,0,894,3,20,0.0178483,1,9.796925680439994,5.875917560700169,6.873501621774079,5.571146523762516,0,7,0.311276209,satisfy,0
u3-04,,,,,,,0,0,0,14038,14044,58777,0,1435,3,20,0.0165968,1.00049868205457,9.833938875828169,6.277211490483998,7.277124741753936,5.686756429436489,0,8,0.312927474,satisfy,0
u3-05,,,,,,,0,0,0,8565,8564,42625,0,938,3,20,0.0162301,1,10.10042036431574,5.9338475923328655,6.93134049509575,5.442550210182158,0,8,0.35214262,satisfy,0
u3-06,,,,,,,0,0,0,7099,7099,35676,0,1730,3,20,0.0168499,1.0001408847562694,9.826007326007327,5.938355198194386,7.191180614257537,4.967878275570583,0,9,0.25358004,satisfy,0
u3-07,,,,,,,0,0,0,26785,26784,99091,0,2228,3,20,0.0209748,1,10.160244922341697,6.775686274509804,7.775164277180406,6.206578554360813,0,9,0.35073962,satisfy,0
u3-08,,,,,,,0,0,0,8854,8883,39764,0,2299,3,20,0.0168088,1.0033886818027786,9.712300914944088,6.247681520018095,7.402688354230205,5.106856432847622,0,11,0.229125348,satisfy,0
u3-09,,,,,,,0,0,0,8728,8728,43544,0,792,3,20,0.330367,1.0001145869141743,10.177609716970322,5.948159192567955,6.945685802681334,5.405293915434857,0,8,0.430481546,satisfy,0
u3-10,,,,,,,0,0,0,8541,8541,42863,0,2053,3,20,0.0858015,1.0001170960187353,10.338290398126464,6.035048646114172,7.038524590163934,5.541686182669789,0,9,0.370550825,satisfy,0
u4-01,,,,,,,1,0,0,,,,,,4,30,0.0203015,,,,,,,,,satisfy,0
u4-02,,,,,,,1,0,0,,,,,,4,30,0.0377907,,,,,,,,,satisfy,0
u4-03,,,,,,,1,0,0,,,,,,4,30,0.0357067,,,,,,,,,satisfy,0
u4-04,,,,,,,1,0,0,,,,,,4,30,0.0388473,,,,,,,,,satisfy,0
u4-05,,,,,,,1,0,0,,,,,,4,30,0.035028,,,,,,,,,satisfy,0
u4-06,,,,,,,1,0,0,,,,,,4,30,0.0321928,,,,,,,,,satisfy,0
u4-07,,,,,,,1,0,0,,,,,,4,30,0.0346156,,,,,,,,,satisfy,0
u4-08,,,,,,,1,0,0,,,,,,4,30,0.0355223,,,,,,,,,satisfy,0
u4-09,,,,,,,1,0,0,,,,,,4,30,0.0374465,,,,,,,,,satisfy,0
u4-10,,,,,,,1,0,0,,,,,,4,30,0.0355529,,,,,,,,,satisfy,0
u5-01,,,,,,,1,0,0,,,,,,5,40,0.0383834,,,,,,,,,satisfy,0
u5-02,,,,,,,1,0,0,,,,,,5,40,0.0343324,,,,,,,,,satisfy,0
u5-03,,,,,,,1,0,0,,,,,,5,40,0.0356079,,,,,,,,,satisfy,0
u5-04,,,,,,,1,0,0,,,,,,5,40,0.0348419,,,,,,,,,satisfy,0
u5-05,,,,,,,1,0,0,,,,,,5,40,0.0370586,,,,,,,,,satisfy,0
u5-06,,,,,,,1,0,0,,,,,,5,40,0.0338549,,,,,,,,,satisfy,0
u5-07,,,,,,,1,0,0,,,,,,5,40,0.0403038,,,,,,,,,satisfy,0
u5-08,,,,,,,1,0,0,,,,,,5,40,0.0368613,,,,,,,,,satisfy,0
u5-09,,,,,,,1,0,0,,,,,,5,40,0.0379225,,,,,,,,,satisfy,0
u5-10,,,,,,,1,0,0,,,,,,5,40,0.0311737,,,,,,,,,satisfy,0
