Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,method,paths
s3-01,37,37,0,1,37,0,0,0,2875,2883,12544,0,90,3,20,0.0405287,1,10.398260869565217,6.964173913043478,7.964173913043478,5.9499130434782606,0,0,satisfy,0
s3-02,37,37,0,1,37,0,0,0,1761,1770,8521,0,61,3,20,0.0416544,1,10.175468483816013,6.7666098807495745,7.7666098807495745,5.286201022146508,0,0,satisfy,0
s3-03,36,36,0,1,36,0,0,0,1560,1569,6983,0,33,3,20,0.0328586,1,10.528846153846153,7.048076923076923,8.048076923076923,5.822435897435898,0,0,satisfy,0
s3-04,39,39,0,1,39,0,0,0,3947,3953,19972,0,129,3,20,0.0296971,1,9.735748669875855,5.4644850329781836,6.457562705852546,5.116290853813022,0,5,satisfy,0
s3-05,39,39,0,1,39,0,0,0,7597,7601,33322,0,255,3,20,0.0314232,1,10.165986573647492,6.263559768299105,7.317625378438858,5.83519810451494,0,1,satisfy,0
s3-06,39,39,0,1,39,0,0,0,16982,16987,74791,0,1184,3,20,0.0386722,1,10.124602520315628,6.359978793590952,7.357731715934519,5.758567895418679,0,6,satisfy,0
s3-07,37,37,0,1,37,0,0,0,4775,4780,21374,0,195,3,20,0.0372572,1,10.873089005235602,6.977591623036649,7.977591623036649,6.305549738219895,0,0,satisfy,0
s3-08,38,38,0,1,38,0,0,0,6384,6387,30949,0,269,3,20,0.0373278,1,9.867951127819548,6.037756540811531,7.146146616541353,5.263627819548872,0,1,satisfy,0
s3-09,39,39,0,1,39,0,0,0,11664,11862,45888,0,513,3,20,0.0344332,1.0162894375857339,10.140089163237311,6.740889993998113,7.8032407407407405,6.231910150891633,0,1,satisfy,0
s3-10,39,39,0,1,39,0,0,0,9814,9823,40448,0,323,3,20,0.02878,1,9.909517016507031,6.347737464329392,7.346443855716323,5.884654575096801,0,2,satisfy,0
s4-01,57,57,0,1,57,0,0,0,691492,691522,3734001,0,28926,4,30,0.0317509,1.0000260306699138,15.589087075483159,11.17541489995546,12.29331792703314,10.352462501373841,0,0,satisfy,0
s4-02,58,58,0,1,58,0,0,0,713869,713878,4198502,0,23105,4,30,0.0185208,1,15.487852813331298,10.356218017591463,11.37223075942505,10.357204192926153,0,0,satisfy,0
s4-03,59,59,0,1,59,0,0,0,4719000,4719013,25234097,0,187523,4,30,0.0193183,1,15.07090675990676,10.583280002780253,11.583271031998304,10.023020555202374,0,4,satisfy,0
s4-04,57,57,0,1,57,0,0,0,982641,982654,4823715,0,31695,4,30,0.0462194,1,15.415967784775924,11.328194121759624,12.328194121759624,10.80411666112039,0,0,satisfy,0
s4-05,55,55,0,1,55,0,0,0,210706,210719,1164928,0,6889,4,30,0.0347411,1,14.997456171157916,11.22774861655577,12.87241464410126,8.9699154271829,0,0,satisfy,0
s4-06,56,56,0,1,56,0,0,0,948402,948414,4473448,0,28968,4,30,0.0236594,1,15.444853553661844,11.803720363305855,12.803720363305855,10.399690215752392,0,0,satisfy,0
s4-07,59,59,0,1,59,0,0,0,6491125,6491138,31883790,0,229919,4,30,0.0204891,1,15.281699089140943,10.949556024366819,11.94955096381598,10.480693870476998,0,3,satisfy,0
s4-08,57,57,0,1,57,0,0,0,606341,606353,3020048,0,20293,4,30,0.0174346,1,15.249912178130788,11.313768984779191,12.313768984779191,10.213069873223153,0,0,satisfy,0
s4-09,55,55,0,1,55,0,0,0,63733,63746,346436,0,2145,4,30,0.0455855,1,15.676148933833336,11.390111872970047,12.735458867462697,9.699794454991919,0,0,satisfy,0
s4-10,59,59,0,1,59,0,0,0,3106859,3106871,16788479,0,111215,4,30,0.0254248,1,15.44530022122021,10.608231405565174,11.608224576654429,10.48732208317146,0,2,satisfy,0
s5-01,,,,,,,0,0,31058595,31058650,194380777,0,1199833,5,40,0.019597,1.000001287888264,20.304851330203444,14.798024701374933,15.81137945872954,15.49838613111765,0,0,satisfy,0
s5-02,,,,,,,0,0,35940814,36002420,222135949,0,1199819,5,40,0.0349223,1.001713789787844,20.030491796874717,15.164870612001163,16.42915035257688,14.694125959417613,0,0,satisfy,0
s5-03,,,,,,,0,0,39956198,39990044,244257860,0,1199828,5,40,0.0364557,1.0008466771538174,20.739891317987762,15.478139386535226,16.78338669760321,15.008043432961264,0,0,satisfy,0
s5-04,74,74,0,1,74,0,0,0,26167800,26167862,160875193,0,773192,5,40,0.0183676,1.0000017196707405,20.233806395646557,15.782168428373803,17.14334395707702,13.829457921567728,0,0,satisfy,0
s5-05,,,,,,,0,0,40931682,40932631,237921588,0,1199865,5,40,0.0162354,1.0000228185101214,20.587706486139513,15.724380297882702,16.72438176373988,15.38019864417006,0,0,satisfy,0
s5-06,,,,,,,0,0,41762602,41762616,257339560,0,1199871,5,40,0.0156122,1,20.15004582329425,15.09193926661945,16.091939266619452,14.656429860380825,0,0,satisfy,0
s5-07,,,,,,,0,0,40424391,40424408,245649768,0,1199859,5,40,0.027596,1,20.3536003547957,15.96169344888832,18.06030745150867,13.36878269854455,0,0,satisfy,0
s5-08,,,,,,,0,0,44537446,44641981,258608892,0,1199849,5,40,0.0162895,1.002346699449268,20.256150386351297,15.609320368303113,16.670921610547673,14.874742435837026,0,0,satisfy,0
s5-09,,,,,,,0,0,36179622,36179638,223820626,0,1199870,5,40,0.0265464,1,19.915307379386107,15.816600405609545,16.816600405609545,14.26412346154418,0,0,satisfy,0
s5-10,,,,,,,0,0,33837478,33837495,199644657,0,1199829,5,40,0.0209358,1,20.78929325051944,16.213022524905668,17.213022524905668,15.04963916045989,0,0,satisfy,0
u3-01,,,,,,,0,1,8175,8174,39290,0,187,3,20,0.0187049,1,9.703572302422314,5.839701200097967,6.92610716907267,5.080009787129924,0,8,satisfy,0
u3-02,,,,,,,0,1,5484,5483,30503,0,105,3,20,0.0179235,1,9.968995075688492,5.465205479452055,6.45723144264089,5.158672259711836,0,8,satisfy,0
u3-03,,,,,,,0,1,7913,7912,34948,0,168,3,20,0.0176255,1,9.75947927199191,5.91562302340291,6.910389282103134,5.512639029322548,0,7,satisfy,0
