Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,72,72,0,1,72,0,0,0,0,113,120,24738,0,2473,3,20,0.0407031,1,10.061946902654867,4.6902654867256635,5.6902654867256635,3.079646017699115,0,0,0.274745841,satisfy,0
s3-02,72,72,0,1,72,0,0,0,0,102,110,19080,0,1834,3,20,0.0586111,1.0098039215686274,10.137254901960784,5.0588235294117645,6.0588235294117645,2.8333333333333335,0,0,0.241463963,satisfy,0
s3-03,69,69,0,1,69,0,0,0,0,85,90,16617,0,1552,3,20,0.0308454,1,10.152941176470588,5,6,3.070588235294118,0,0,0.214016946,satisfy,0
s3-04,77,77,0,1,77,0,0,0,0,673,678,132579,0,11843,3,20,0.023149,1.0014858841010401,9.656760772659732,3.934131736526946,4.916790490341754,3.2585438335809807,0,5,0.189249418,satisfy,0
s3-05,78,78,0,1,78,0,0,0,0,361,368,105008,0,6504,3,20,0.0352648,1.0110803324099722,9.806094182825484,4.058333333333334,5.069252077562327,3.160664819944598,0,1,0.088120981,satisfy,0
s3-06,78,78,0,1,78,0,0,0,0,575,576,107157,0,7127,3,20,0.0206943,1,9.740869565217391,3.775043936731107,4.770434782608696,3.1043478260869564,0,6,0.153277787,satisfy,0
s3-07,72,72,0,1,72,0,0,0,0,166,170,34092,0,2169,3,20,0.0216664,1.0060240963855422,10.301204819277109,4.734939759036145,5.734939759036145,3.0903614457831323,0,0,0.156579001,satisfy,0
s3-08,78,78,0,1,78,0,0,0,0,345,348,116882,0,5546,3,20,0.0206821,1,9.614492753623189,3.880813953488372,4.898550724637682,2.9014492753623187,0,1,0.050782449,satisfy,0
s3-09,78,78,0,1,78,0,0,0,0,181,187,70711,0,3074,3,20,0.0260356,1,9.30939226519337,3.6166666666666667,4.596685082872928,2.8784530386740332,0,1,0.0737421,satisfy,0
s3-10,78,78,0,1,78,0,0,0,0,426,431,79407,0,4412,3,20,0.0212208,1.0023474178403755,9.779342723004694,3.8089622641509435,4.826291079812207,3.2629107981220655,0,2,0.134215188,satisfy,0
s4-01,,,,,,,1,0,0,,,,,,4,30,0.0208353,,,,,,,,,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.017807,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.0452007,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.048345,,,,,,,,,satisfy,0
s4-05,,,,,,,0,0,0,2550,2559,1462476,0,1193632,4,30,0.0398754,1.0003921568627452,15.597254901960785,9.69843137254902,10.849803921568627,5.670196078431372,0,0,6.216963898,satisfy,0
s4-06,,,,,,,0,0,0,2614,2623,1373106,0,1191372,4,30,0.021888,1.0003825554705432,16.122800306044375,9.745983167559297,10.75592960979342,6.5198928844682476,0,0,8.529449969,satisfy,0
s4-07,,,,,,,0,0,0,2919,2928,1796366,0,1192761,4,30,0.0178159,1,15.905447070914697,9.459746488523466,10.478931140801645,6.805755395683454,0,0,7.128908572,satisfy,0
s4-08,,,,,,,0,0,0,3683,3697,1856300,0,1193048,4,30,0.0152947,1.0005430355688298,15.7317404289981,10.429269617159925,11.435514526201466,6.283464566929134,0,0,6.908367416,satisfy,0
s4-09,104,104,0,1,104,0,0,0,0,2746,2761,1719326,0,840875,4,30,0.0155303,1.0018208302986162,15.699927166788056,9.349599417334305,10.441005098324837,6.130735615440641,0,0,4.14968902,satisfy,0
s4-10,,,,,,,0,0,0,3406,3416,1778830,0,1192924,4,30,0.0171202,1,15.720493247210804,10.158543746330006,11.165296535525544,6.485320023487962,0,0,7.000930401,satisfy,0
s5-01,,,,,,,1,0,0,,,,,,5,40,0.0165528,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,0,,,,,,5,40,0.0284061,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,0,,,,,,5,40,0.031082,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,0,,,,,,5,40,0.0298597,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,0,,,,,,5,40,0.0304059,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,0,,,,,,5,40,0.0308021,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,0,,,,,,5,40,0.0307607,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,0,,,,,,5,40,0.029622,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,0,,,,,,5,40,0.0286828,,,,,,,,,satisfy,0
