Filename,11AutonomousSearchAverageSizeOfHeap,11AutonomousSearchNumAssignedPredicatesEncountered,11AutonomousSearchNumBackupCalled,11AutonomousSearchNumCalls,11AutonomousSearchNumPredicatesAdded,11AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,37,37,0,1,37,0,0,0,0,2875,2883,12544,0,143,3,20,0.041018,1,10.398260869565217,6.964173913043478,7.964173913043478,5.9499130434782606,0,0,0.186572706,satisfy,0
s3-02,37,37,0,1,37,0,0,0,0,1761,1770,8521,0,69,3,20,0.0450193,1,10.175468483816013,6.7666098807495745,7.7666098807495745,5.286201022146508,0,0,0.163852788,satisfy,0
s3-03,36,36,0,1,36,0,0,0,0,1560,1569,6983,0,47,3,20,0.0345001,1,10.528846153846153,7.048076923076923,8.048076923076923,5.822435897435898,0,0,0.166948106,satisfy,0
s3-04,39,39,0,1,39,0,0,0,0,3947,3953,19972,0,232,3,20,0.0292293,1,9.735748669875855,5.4644850329781836,6.457562705852546,5.116290853813022,0,5,0.175848534,satisfy,0
s3-05,6727,6727,0,1,6727,0,0,0,0,7309,7311,266070,0,31484,3,20,0.0467668,1.0001368176221097,10.329867286906554,6.294633077765608,12.036940757969626,5.274182514707895,0,5,2.456062334,satisfy,0
s3-06,39,39,0,1,39,0,0,0,0,16982,16987,74791,0,627,3,20,0.0172118,1,10.124602520315628,6.359978793590952,7.357731715934519,5.758567895418679,0,6,0.104207755,satisfy,0
s3-07,37,37,0,1,37,0,0,0,0,4775,4780,21374,0,128,3,20,0.0187257,1,10.873089005235602,6.977591623036649,7.977591623036649,6.305549738219895,0,0,0.107693213,satisfy,0
s3-08,2384,2384,0,1,2384,0,0,0,0,1098,1116,68763,0,4709,3,20,0.0196331,1.0100182149362478,9.946265938069217,5.735883424408015,11.793260473588342,7.19672131147541,0,0,1.086071286,satisfy,0
s3-09,3945,3945,0,1,3945,0,0,0,0,2903,2906,141781,0,7548,3,20,0.0195555,1,9.719255942128832,6.169824319669307,13.319324836376163,7.756114364450569,0.0006889424733034792,0,1.293304217,satisfy,0
s3-10,39,39,0,1,39,0,0,0,0,9814,9823,40448,0,299,3,20,0.0167713,1,9.909517016507031,6.347737464329392,7.346443855716323,5.884654575096801,0,2,0.106823143,satisfy,0
s4-01,,,,,,,1,0,0,,,,,,4,30,0.0179828,,,,,,,,,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.0451092,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.0383123,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.039824,,,,,,,,,satisfy,0
s4-05,,,,,,,1,0,0,,,,,,4,30,0.043223,,,,,,,,,satisfy,0
s4-06,,,,,,,1,0,0,,,,,,4,30,0.0307129,,,,,,,,,satisfy,0
s4-07,,,,,,,1,0,0,,,,,,4,30,0.0324921,,,,,,,,,satisfy,0
s4-08,,,,,,,1,0,0,,,,,,4,30,0.0382715,,,,,,,,,satisfy,0
s4-09,,,,,,,1,0,0,,,,,,4,30,0.0350071,,,,,,,,,satisfy,0
s4-10,,,,,,,1,0,0,,,,,,4,30,0.040989,,,,,,,,,satisfy,0
s5-01,,,,,,,1,0,0,,,,,,5,40,0.0398568,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,0,,,,,,5,40,0.0463404,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,0,,,,,,5,40,0.0334046,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,0,,,,,,5,40,0.0376181,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,0,,,,,,5,40,0.0320979,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,0,,,,,,5,40,0.0402385,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,0,,,,,,5,40,0.0353228,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,0,,,,,,5,40,0.0334205,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,0,,,,,,5,40,0.0417398,,,,,,,,,satisfy,0
s5-10,,,,,,,1,0,0,,,,,,5,40,0.046319,,,,,,,,,satisfy,0
