Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
qcp-10-67-0_ext,153.22055137844612,20277,146,399,1304,0,0,0,0,133,929,39662,0,846,20,67,0.57087,6.81203007518797,9.676691729323307,4.3007518796992485,7.962406015037594,0.3383458646616541,0.5789473684210527,0,0.422542652,satisfy,0
qcp-10-67-10_ext,,,,,,,0,0,1,43,158,8029,0,85,20,67,0.0776262,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.225708318,satisfy,0
qcp-10-67-11_ext,,,,,,,0,0,1,221,616,33461,0,362,20,67,0.0852781,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.243393625,satisfy,0
qcp-10-67-12_ext,,,,,,,0,0,1,185,604,28298,0,568,20,67,0.0981439,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.511553552,satisfy,0
qcp-10-67-13_ext,,,,,,,0,0,1,8,24,1341,0,14,20,67,0.0965649,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.2746073,satisfy,0
qcp-10-67-14_ext,,,,,,,0,0,1,19,83,4936,0,64,20,67,0.0971634,4.611111111111111,2.388888888888889,1.9285714285714286,3.6666666666666665,0.3333333333333333,0.2222222222222222,4,0.213606916,satisfy,0
qcp-10-67-1_ext,81.42528735632185,7791,110,174,1041,0,0,0,0,108,476,21233,0,270,20,67,0.0785976,4.2407407407407405,9.953703703703704,4.611111111111111,8.972222222222221,0.4166666666666667,0.6759259259259259,0,0.160297746,satisfy,0
qcp-10-67-2_ext,50.24519230769231,6762,129,208,861,0,0,0,0,98,377,24907,0,359,20,67,0.0720165,3.693877551020408,11.826530612244898,3.8469387755102042,8.561224489795919,0.2857142857142857,0.5918367346938775,0,0.248418717,satisfy,0
qcp-10-67-3_ext,91.1236559139785,10809,134,186,1453,0,0,0,0,161,435,21073,0,253,20,67,0.0793679,2.590062111801242,6.801242236024844,4.583850931677019,10.062111801242237,0.2981366459627329,0.515527950310559,0,0.139528404,satisfy,0
qcp-10-67-4_ext,157.01807228915663,14006,102,166,1094,0,0,0,0,104,497,25961,0,291,20,67,0.0817946,4.5673076923076925,7.384615384615385,4.605769230769231,8.221153846153847,0.33653846153846156,0.5192307692307693,0,0.183763152,satisfy,0
