Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,73,73,0,1,73,0,0,0,0,270,278,1885,0,432,3,20,0.0225512,1.0037037037037038,10.21111111111111,5.440740740740741,6.518518518518518,4.059259259259259,0,0,0.287428419,satisfy,0
s3-02,72,72,0,1,72,0,0,0,0,350,359,2416,0,787,3,20,0.0269498,1,10.382857142857143,5.7628571428571425,7.091428571428572,3.9457142857142857,0,0,0.286603622,satisfy,0
s3-03,70,70,0,1,70,0,0,0,0,178,183,1212,0,315,3,20,0.0217439,1,10.387640449438202,5.449438202247191,6.887640449438202,3.9775280898876404,0,0,0.278800117,satisfy,0
s3-04,75,75,0,1,75,0,0,0,0,1314,1324,8845,0,1326,3,20,0.0220526,1.0038051750380517,9.625570776255708,4.4316271963330784,5.462709284627093,4.232115677321157,0,5,0.268785216,satisfy,0
s3-05,77,77,0,1,77,0,0,0,0,334,341,2653,0,977,3,20,0.0196521,1.0119760479041917,9.58682634730539,3.933933933933934,5.583832335329341,2.44311377245509,0,1,0.049032119,satisfy,0
s3-06,77,77,0,1,77,0,0,0,0,1460,1475,10326,0,2427,3,20,0.0187585,1.0095890410958903,10.042465753424658,4.493122420907841,5.641095890410959,4.313013698630137,0,6,0.262644239,satisfy,0
s3-07,73,73,0,1,73,0,0,0,0,428,433,3043,0,1275,3,20,0.0299016,1,10.495327102803738,5.313084112149533,6.677570093457944,4.214953271028038,0,0,0.312010371,satisfy,0
s3-08,77,77,0,1,77,0,0,0,0,309,312,2503,0,1510,3,20,0.0308701,1,9.391585760517799,3.7435064935064934,5.433656957928803,2.0841423948220066,0,1,0.069083187,satisfy,0
s3-09,77,77,0,1,77,0,0,0,0,181,187,1442,0,919,3,20,0.0300584,1,9.171270718232044,3.511111111111111,5.176795580110498,2.0497237569060776,0,1,0.063687074,satisfy,0
s3-10,77,77,0,1,77,0,0,0,0,953,962,6374,0,1665,3,20,0.0343857,1.0052465897166842,9.958027282266526,4.590956887486856,5.922350472193075,4.430220356768101,0,2,0.381433704,satisfy,0
s4-01,112,112,0,1,112,0,0,0,0,39823,39856,343291,0,1190740,4,30,0.0319353,1.0005524445672098,15.486854330412074,8.784847952188434,11.700775933505764,5.6905054867789975,0,0,9.082728593,satisfy,0
s4-02,116,116,0,1,116,0,0,0,0,102282,102334,873270,0,2398100,4,30,0.0361045,1.0004301832189437,15.354382980387555,8.699986312352124,10.657251520306604,7.101034395103733,0,0,10.230861522,satisfy,0
s4-03,,,,,,,0,1,0,129380,130813,1201425,0,3589586,4,30,0.0321165,1.0110063379193075,15.354660689441953,8.154066734168605,10.218379965991652,6.448454166022569,0,1,10.258573193,satisfy,0
s4-04,113,113,0,1,113,0,0,0,0,43164,43211,374383,0,931908,4,30,0.0257158,1.000810860902604,15.827796311741265,8.808497822259291,11.46997497914929,5.828398665554629,0,0,9.499670196,satisfy,0
s4-05,107,107,0,1,107,0,0,0,0,9242,9257,85057,0,237848,4,30,0.0245672,1.0004328067517854,15.433564163600952,9.007465916468297,11.90824496862151,4.649967539493616,0,0,7.520801978,satisfy,0
s4-06,110,110,0,1,110,0,0,0,0,27678,27731,234537,0,772553,4,30,0.0300728,1.001589710239179,15.747994797311945,8.89121323795072,12.277837994074716,4.936483849989161,0,0,8.611084307,satisfy,0
s4-07,,,,,,,0,1,0,138019,138149,1179512,0,3589835,4,30,0.0251331,1.000883936269644,15.739441671074273,8.482969736050833,11.699961599489924,5.855860425013947,0,0,10.022770762,satisfy,0
s4-08,113,113,0,1,113,0,0,0,0,54047,54069,455917,0,1149525,4,30,0.0418733,1.0002405313893463,15.625492626787796,9.20929931356042,11.735544988621015,6.053638499824227,0,0,11.428071871,satisfy,0
s4-09,104,104,0,1,104,0,0,0,0,2747,2762,24616,0,58188,4,30,0.0256082,1.001820167455406,15.390971969421187,9.15435020021842,11.373134328358208,4.996723698580269,0,0,6.40217065,satisfy,0
s4-10,,,,,,,0,1,0,170116,170192,1455758,0,3589430,4,30,0.0225917,1.0003879705612642,15.51810529285899,8.734751581273954,11.12808906863552,6.7183216158386045,0,0,10.420534623,satisfy,0
s5-01,,,,,,,1,0,0,,,,,,5,40,0.0262316,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,0,,,,,,5,40,0.046706,,,,,,,,,satisfy,0
