Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,72,72,0,1,72,0,0,0,0,113,120,24738,0,1584,3,20,0.0191104,1,10.061946902654867,4.6902654867256635,5.6902654867256635,3.079646017699115,0,0,0.172263719,satisfy,0
s3-02,72,72,0,1,72,0,0,0,0,102,110,19080,0,1162,3,20,0.0220287,1.0098039215686274,10.137254901960784,5.0588235294117645,6.0588235294117645,2.8333333333333335,0,0,0.168685548,satisfy,0
s3-03,69,69,0,1,69,0,0,0,0,85,90,16617,0,1113,3,20,0.0230635,1,10.152941176470588,5,6,3.070588235294118,0,0,0.185559426,satisfy,0
s3-04,77,77,0,1,77,0,0,0,0,673,678,132579,0,10649,3,20,0.0221866,1.0014858841010401,9.656760772659732,3.934131736526946,4.916790490341754,3.2585438335809807,0,5,0.177803484,satisfy,0
s3-05,78,78,0,1,78,0,0,0,0,361,368,105008,0,5979,3,20,0.0288856,1.0110803324099722,9.806094182825484,4.058333333333334,5.069252077562327,3.160664819944598,0,1,0.061728018,satisfy,0
s3-06,78,78,0,1,78,0,0,0,0,575,576,107157,0,8070,3,20,0.0272741,1,9.740869565217391,3.775043936731107,4.770434782608696,3.1043478260869564,0,6,0.19955028,satisfy,0
s3-07,72,72,0,1,72,0,0,0,0,166,170,34092,0,3057,3,20,0.0268157,1.0060240963855422,10.301204819277109,4.734939759036145,5.734939759036145,3.0903614457831323,0,0,0.207907499,satisfy,0
s3-08,78,78,0,1,78,0,0,0,0,345,348,116882,0,7320,3,20,0.0443837,1,9.614492753623189,3.880813953488372,4.898550724637682,2.9014492753623187,0,1,0.130358868,satisfy,0
s3-09,78,78,0,1,78,0,0,0,0,181,187,70711,0,3991,3,20,0.0253891,1,9.30939226519337,3.6166666666666667,4.596685082872928,2.8784530386740332,0,1,0.065404229,satisfy,0
s3-10,78,78,0,1,78,0,0,0,0,426,431,79407,0,5716,3,20,0.0269179,1.0023474178403755,9.779342723004694,3.8089622641509435,4.826291079812207,3.2629107981220655,0,2,0.18806195,satisfy,0
s4-01,,,,,,,0,1,0,7183,7200,2567733,0,3550255,4,30,0.0271761,1.00097452317973,15.754280941110956,9.989001809828762,11.01141584296255,6.919393011276625,0,0,49.66771809,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.0558913,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.0444495,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.0454431,,,,,,,,,satisfy,0
s4-05,,,,,,,0,1,0,6963,6974,4004944,0,3591681,4,30,0.0495475,1.0002872325147207,15.65546459859256,9.39235961510843,10.494901622863708,6.260519890851644,0,0,8.17476834,satisfy,0
