Filename,11AutonomousSearchAverageSizeOfHeap,11AutonomousSearchNumAssignedPredicatesEncountered,11AutonomousSearchNumBackupCalled,11AutonomousSearchNumCalls,11AutonomousSearchNumPredicatesAdded,11AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
s3-01,435,435,0,1,435,0,0,0,0,211,280,59587,0,1245,3,20,0.0240536,1.2843601895734598,9.445497630331754,6.421800947867299,11.672985781990521,4.649289099526066,0,0,0.174175528,satisfy,0
s3-02,662,662,0,1,662,0,0,0,0,430,511,104686,0,2363,3,20,0.0295375,1.1744186046511629,9.7,6.0162790697674415,12.132558139534884,4.669767441860465,0.004651162790697674,0,0.188674866,satisfy,0
s3-03,955,955,0,1,955,0,0,0,0,869,983,190074,0,5502,3,20,0.0208753,1.1208285385500576,10.054085155350979,6.103567318757192,11.886075949367088,6.58457997698504,0.0011507479861910242,0,0.192941825,satisfy,0
s3-04,1008,1008,0,1,1008,0,0,0,0,1066,1224,320734,0,10970,3,20,0.0293151,1.1425891181988743,9.832082551594747,5.746478873239437,11.298311444652908,6.222326454033771,0,1,0.186725535,satisfy,0
s3-05,837,837,0,1,837,0,0,0,0,521,619,201657,0,5627,3,20,0.0242966,1.1804222648752398,9.750479846449137,5.09404990403071,8.571976967370441,6.241842610364683,0.0019193857965451055,0,0.056287808,satisfy,0
s3-06,1104,1104,0,1,1104,0,0,0,0,982,1216,253637,0,8227,3,20,0.0327081,1.2331975560081467,9.668024439918534,5.197757390417941,10.143584521384929,6.461303462321792,0,1,0.206901749,satisfy,0
s3-07,669,669,0,1,669,0,0,0,0,478,538,127141,0,3805,3,20,0.0289729,1.110878661087866,10.03765690376569,6.589958158995816,12.705020920502092,5.650627615062762,0,0,0.220985389,satisfy,0
s3-08,826,826,0,1,826,0,0,0,0,537,612,216369,0,6338,3,20,0.0261299,1.1303538175046555,9.659217877094973,5.538175046554935,8.95903165735568,5.5307262569832405,0,0,0.081260548,satisfy,0
s3-09,1316,1316,0,1,1316,0,0,0,0,1141,1264,407880,0,13209,3,20,0.0274541,1.1060473269062225,8.540753724802805,4.603342128408092,8.346187554776511,5.544259421560035,0.0043821209465381246,4,0.066204399,satisfy,0
s3-10,1242,1242,0,1,1242,0,0,0,0,1429,1646,261785,0,8037,3,20,0.0276149,1.1497550734779567,9.593421973407978,5.109243697478991,9.140657802659202,6.764870538838348,0.00489853044086774,1,0.195932038,satisfy,0
s4-01,,,,,,,1,0,0,,,,,,4,30,0.0375408,,,,,,,,,satisfy,0
s4-02,,,,,,,1,0,0,,,,,,4,30,0.0484626,,,,,,,,,satisfy,0
s4-03,,,,,,,1,0,0,,,,,,4,30,0.0510765,,,,,,,,,satisfy,0
s4-04,,,,,,,1,0,0,,,,,,4,30,0.0596876,,,,,,,,,satisfy,0
s4-05,,,,,,,0,1,0,5708,6133,6897096,0,3591579,4,30,0.0536648,1.0716538192011211,17.20480028030834,13.466888577435178,33.096005606166784,15.485984583041345,0,0,8.687829789,satisfy,0
s4-06,,,,,,,0,1,0,8780,9525,8212016,0,3391066,4,30,0.0245836,1.0835990888382687,16.888496583143507,12.139407744874715,40.261845102505696,13.143394077448747,0.00045558086560364467,0,209.024011705,satisfy,0
s4-07,,,,,,,0,1,0,5276,5535,7388554,0,3590681,4,30,0.02586,1.0466262319939348,16.485405610310842,11.720432145564821,31.0909780136467,18.12300985595148,0,0,9.687531044,satisfy,0
s4-08,,,,,,,0,1,0,6075,6534,6727107,0,3589009,4,30,0.0295478,1.0727572016460905,17.9038683127572,13.1920987654321,34.80411522633745,11.474238683127572,0,0,11.317408954,satisfy,0
s4-09,,,,,,,0,1,0,6985,7491,9093314,0,3592927,4,30,0.0350119,1.071009305654975,18.642376521116677,11.449677881173944,25.658840372226198,13.012455261274159,0,0,7.185623882,satisfy,0
s4-10,,,,,,,0,1,0,5933,6360,7516343,0,3590490,4,30,0.0438243,1.0691050058992078,16.368784763188945,12.570032024271027,35.178661722568684,13.37805494690713,0,0,9.767893095,satisfy,0
s5-01,,,,,,,1,0,0,,,,,,5,40,0.0274334,,,,,,,,,satisfy,0
s5-02,,,,,,,1,0,0,,,,,,5,40,0.0424348,,,,,,,,,satisfy,0
s5-03,,,,,,,1,0,0,,,,,,5,40,0.0453361,,,,,,,,,satisfy,0
s5-04,,,,,,,1,0,0,,,,,,5,40,0.0393342,,,,,,,,,satisfy,0
s5-05,,,,,,,1,0,0,,,,,,5,40,0.0401357,,,,,,,,,satisfy,0
s5-06,,,,,,,1,0,0,,,,,,5,40,0.0396992,,,,,,,,,satisfy,0
s5-07,,,,,,,1,0,0,,,,,,5,40,0.0411621,,,,,,,,,satisfy,0
s5-08,,,,,,,1,0,0,,,,,,5,40,0.041204,,,,,,,,,satisfy,0
s5-09,,,,,,,1,0,0,,,,,,5,40,0.0395431,,,,,,,,,satisfy,0
s5-10,,,,,,,1,0,0,,,,,,5,40,0.0423051,,,,,,,,,satisfy,0
u3-01,,,,,,,0,0,1,1616,1759,642031,0,18368,3,20,0.0484027,1.0891640866873065,9.105882352941176,4.947663551401869,8.50092879256966,7.193188854489164,0.0030959752321981426,10,0.065113872,satisfy,0
u3-02,,,,,,,0,0,1,1882,2036,446520,0,12621,3,20,0.0232782,1.0824029771398191,9.47900053163211,4.958867521367521,8.872408293460925,7.059542796384902,0,9,0.155859472,satisfy,0
u3-03,,,,,,,0,0,1,1561,1708,388197,0,11839,3,20,0.0221107,1.094871794871795,9.50576923076923,4.907860824742268,9.195512820512821,6.7942307692307695,0.0057692307692307696,8,0.184938978,satisfy,0
u3-04,,,,,,,0,0,1,1574,1753,398284,0,9895,3,20,0.0225336,1.1144310235219326,9.396694214876034,4.695846645367412,8.690400508582327,7.003178639542276,0,8,0.166412501,satisfy,0
u3-05,,,,,,,0,0,1,1926,2174,424602,0,11540,3,20,0.0192116,1.1293506493506493,9.57974025974026,5.090766823161189,9.303376623376623,6.889350649350649,0.002077922077922078,8,0.169632161,satisfy,0
u3-06,,,,,,,0,0,1,999,1144,372931,0,7455,3,20,0.0224301,1.1462925851703407,8.559118236472946,4.319878910191726,7.792585170340681,5.377755511022044,0,7,0.073439238,satisfy,0
u3-07,,,,,,,0,0,1,1773,2021,429387,0,11054,3,20,0.0200921,1.1405191873589164,9.370203160270881,4.610890527509926,8.875846501128668,7.458803611738149,0,9,0.188212734,satisfy,0
u3-08,,,,,,,0,0,1,1059,1173,391075,0,8658,3,20,0.0228707,1.108695652173913,8.889413988657845,4.453333333333333,7.696597353497165,5.5765595463138,0.007561436672967864,8,0.060546684,satisfy,0
u3-09,,,,,,,0,0,1,1682,1834,407092,0,12120,3,20,0.038316,1.0910172516359309,9.733491969066032,4.903708133971292,8.477096966091612,6.75728732897085,0,9,0.187880089,satisfy,0
u3-10,,,,,,,0,0,1,2133,2332,489482,0,15030,3,20,0.024387,1.0938086303939962,9.645872420262664,4.936881771078662,8.75891181988743,7.216697936210132,0.0023452157598499064,9,0.159764764,satisfy,0
u4-01,,,,,,,0,1,0,12112,12648,9409441,0,3593544,4,30,0.0206659,1.043180317040951,14.198811096433289,11.758669088507265,31.142750990752972,8.099075297225891,0.0022291941875825626,0,6.815920136,satisfy,0
u4-02,,,,,,,0,1,0,9343,9903,8561908,0,3410876,4,30,0.0392902,1.0586535374076849,17.122123514930966,11.205608476934604,30.309536551428877,15.689607192550573,0,0,189.038116211,satisfy,0
u4-03,,,,,,,0,1,0,9222,9590,8481078,0,3431055,4,30,0.0443437,1.0382780307959227,17.633593580568206,11.943938408154413,36.96942094990241,18.617653437432228,0,0,168.802178534,satisfy,0
u4-04,,,,,,,0,1,0,8197,8649,7335108,0,3591153,4,30,0.0213675,1.0534341832377698,16.09625472733927,11.471025985116507,30.735025009149687,6.998414053922167,0,0,8.776971027,satisfy,0
u4-05,,,,,,,0,1,0,12144,12646,9482481,0,3526179,4,30,0.0261858,1.040513833992095,16.66337285902503,11.951086956521738,36.3417325428195,21.96788537549407,0,0,74.092340451,satisfy,0
u4-06,,,,,,,0,1,0,8440,9303,8642669,0,3370164,4,30,0.0220188,1.1005924170616115,18.342298578199053,12.5978672985782,41.70734597156398,11.969075829383886,0,0,230.161728132,satisfy,0
u4-07,,,,,,,0,1,0,9943,10287,8085011,0,3430880,4,30,0.0432963,1.033289751584029,16.78225887559087,12.06165141305441,35.037614402091926,19.91240068389822,0,0,168.946440225,satisfy,0
u4-08,,,,,,,0,1,0,17369,18297,8541815,0,3362748,4,30,0.0403427,1.05256491450285,17.15182221198687,13.48039610800852,45.54712418676953,26.72923023777995,0.00023029535379123726,0,237.083602134,satisfy,0
u4-09,,,,,,,0,1,0,9473,10060,8852207,0,3415966,4,30,0.0213466,1.060276575530455,16.030718885252824,12.855378443998733,37.056370737886624,18.46310566874274,0.000738942256940779,0,184.248078653,satisfy,0
u4-10,,,,,,,0,1,0,6492,6849,8994020,0,3591407,4,30,0.0454146,1.0526802218114601,17.452556993222426,12.551756007393715,33.94562538508934,14.939309919901417,0,0,8.570139085,satisfy,0
u5-01,,,,,,,1,0,0,,,,,,5,40,0.0431768,,,,,,,,,satisfy,0
u5-02,,,,,,,1,0,0,,,,,,5,40,0.0476765,,,,,,,,,satisfy,0
u5-03,,,,,,,1,0,0,,,,,,5,40,0.0510765,,,,,,,,,satisfy,0
u5-04,,,,,,,1,0,0,,,,,,5,40,0.0402864,,,,,,,,,satisfy,0
u5-05,,,,,,,1,0,0,,,,,,5,40,0.0400974,,,,,,,,,satisfy,0
u5-06,,,,,,,1,0,0,,,,,,5,40,0.041594,,,,,,,,,satisfy,0
u5-07,,,,,,,1,0,0,,,,,,5,40,0.0623743,,,,,,,,,satisfy,0
u5-08,,,,,,,1,0,0,,,,,,5,40,0.0417529,,,,,,,,,satisfy,0
u5-09,,,,,,,1,0,0,,,,,,5,40,0.0411435,,,,,,,,,satisfy,0
u5-10,,,,,,,1,0,0,,,,,,5,40,0.0471046,,,,,,,,,satisfy,0
