Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
qcp-10-67-0_ext,146.77165354330708,17199,147,254,1172,0,0,0,0,127,775,35678,0,318,20,67,0.171914,5.874015748031496,9.937007874015748,4.440944881889764,8.007874015748031,0.33858267716535434,0.5196850393700787,0,0.259262827,satisfy,0
qcp-10-67-10_ext,,,,,,,0,0,1,43,158,8029,0,64,20,67,0.0654654,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.206609177,satisfy,0
qcp-10-67-11_ext,,,,,,,0,0,1,221,616,33461,0,280,20,67,0.0609182,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.175599203,satisfy,0
qcp-10-67-12_ext,,,,,,,0,0,1,185,604,28298,0,221,20,67,0.0573627,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.260111372,satisfy,0
qcp-10-67-13_ext,,,,,,,0,0,1,8,24,1341,0,11,20,67,0.0516061,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.192716068,satisfy,0
qcp-10-67-14_ext,,,,,,,0,0,1,19,83,4524,0,34,20,67,0.0607881,4.611111111111111,2.388888888888889,1.9285714285714286,3.6666666666666665,0.3333333333333333,0.2222222222222222,4,0.192428291,satisfy,0
qcp-10-67-1_ext,77.16153846153846,7356,91,130,862,0,0,0,0,94,411,20487,0,186,20,67,0.0617896,4.170212765957447,8.382978723404255,4.031914893617022,7.659574468085107,0.425531914893617,0.5851063829787234,0,0.157691705,satisfy,0
qcp-10-67-2_ext,82.190332326284,13560,157,331,1051,0,0,0,0,146,592,40059,0,415,20,67,0.0656476,3.952054794520548,11.356164383561644,3.7054794520547945,8.157534246575343,0.2465753424657534,0.6712328767123288,0,0.228230293,satisfy,0
qcp-10-67-3_ext,136.02116402116403,14527,120,189,1446,0,0,0,0,167,488,25734,0,218,20,67,0.0620619,2.802395209580838,6.293413173652695,4.245508982035928,9.664670658682635,0.2694610778443114,0.5329341317365269,0,0.121950501,satisfy,0
qcp-10-67-4_ext,148.53378378378378,16786,116,148,979,0,0,0,0,99,521,29350,0,287,20,67,0.0669926,5.03030303030303,6.08080808080808,3.9797979797979797,7.171717171717172,0.1717171717171717,0.5656565656565656,0,0.135917799,satisfy,0
qcp-10-67-5_ext,27.68208092485549,3837,141,173,470,0,0,0,0,75,361,15635,0,135,20,67,0.0625447,4.506666666666667,7.973333333333334,3.16,6.1066666666666665,0.09333333333333334,0.44,0,0.262893576,satisfy,0
qcp-10-67-6_ext,114.44915254237289,13615,145,236,1001,0,0,0,0,102,624,27852,0,225,20,67,0.0608461,5.852941176470588,9.803921568627452,4.549019607843137,8.313725490196079,0.4117647058823529,0.5,0,0.184985081,satisfy,0
qcp-10-67-7_ext,141.78620689655173,11910,99,145,919,0,0,0,0,122,599,31554,0,289,20,67,0.0616133,4.69672131147541,5.622950819672131,3.3140495867768593,6.024590163934426,0.1557377049180328,0.47540983606557374,1,0.130494144,satisfy,0
qcp-10-67-8_ext,76.81496062992126,12725,161,254,883,0,0,0,0,134,636,47627,0,380,20,67,0.0589603,4.597014925373134,9.246268656716419,3.470149253731343,6.597014925373134,0.30597014925373134,0.7388059701492538,0,0.35967585,satisfy,0
qcp-10-67-9_ext,117.49044585987261,15526,146,314,1224,0,0,0,0,130,688,37044,0,341,20,67,0.0742916,5.123076923076923,10.676923076923076,4.8538461538461535,9.007692307692308,0.2153846153846154,0.7153846153846154,0,0.269588941,satisfy,0
qcp-15-120-0_ext,469.0477815699659,111503,342,879,3829,0,0,0,0,312,1677,141371,0,1578,30,120,0.0706588,5.262820512820513,9.179487179487179,4.653846153846154,9.740384615384615,0.5160256410256411,0.5833333333333334,0,9.027247821,satisfy,0
qcp-15-120-10_ext,,,,,,,0,0,1,5316,8811,1115584,0,10419,30,120,0.0541709,1.657761053621825,4.365945437441204,5.546362608367885,20.57008466603951,2.5969896519285043,0.6735653809971778,9,11.212376932,satisfy,0
qcp-15-120-11_ext,,,,,,,0,0,1,44,127,13556,0,97,30,120,0.0713925,2.953488372093023,2.3255813953488373,3.85,7.883720930232558,0.4883720930232558,0.4883720930232558,3,2.95989069,satisfy,0
qcp-15-120-12_ext,,,,,,,0,0,1,1572,2734,339160,0,3034,30,120,0.0705649,1.740292807129217,3.9713558243157223,6.0140575079872205,20.502227880331,1.5983450031826862,0.5754296626352642,6,7.467632555,satisfy,0
qcp-15-120-13_ext,,,,,,,0,0,1,3398,4979,614771,0,5335,30,120,0.0635367,1.4657050338534001,4.108919634972034,4.960743801652892,21.239623196938474,2.6970856638210186,0.7044450986164262,9,5.599620778,satisfy,0
qcp-15-120-14_ext,,,,,,,0,0,1,102,307,32567,0,295,30,120,0.0608838,3.0396039603960396,2.613861386138614,4.23469387755102,8.455445544554456,0.693069306930693,0.5148514851485149,3,6.391851307,satisfy,0
qcp-15-120-1_ext,335.8674463937622,108970,354,513,4194,0,0,0,0,716,1508,201395,0,1790,30,120,0.0593349,2.0824022346368714,4.906424581005586,6.9581005586592175,19.631284916201118,0.744413407821229,0.5251396648044693,0,6.39111763,satisfy,0
qcp-15-120-2_ext,436.91583257506824,135673,339,2198,3729,0,0,0,0,377,3346,182982,0,2143,30,120,0.0633403,8.79840848806366,8.559681697612731,4.946949602122016,10.628647214854112,0.3209549071618037,0.6312997347480106,0,4.954797912,satisfy,0
qcp-15-120-3_ext,184.8725806451613,73359,373,620,4706,0,0,0,0,1745,3242,399178,0,3945,30,120,0.0679069,1.8521489971346705,5.41432664756447,6.213753581661891,25.25787965616046,1.7025787965616046,0.8091690544412607,0,4.570186518,satisfy,0
qcp-15-120-4_ext,604.9008849557522,158502,325,565,4294,0,0,0,0,1444,2971,323823,0,3053,30,120,0.0603651,2.042936288088643,5.002770083102493,7.470914127423823,24.282548476454295,1.8781163434903048,0.9986149584487535,0,7.111391294,satisfy,0
qcp-15-120-5_ext,583.7561929595828,183527,294,767,5222,0,0,0,0,2995,5448,761052,0,7099,30,120,0.0871661,1.8130217028380635,4.535559265442404,4.986973947895792,18.310183639399,1.3108514190317195,0.5228714524207012,1,6.392626415,satisfy,0
qcp-15-120-6_ext,608.4691780821918,152488,369,584,4325,0,0,0,0,839,2034,264814,0,3062,30,120,0.0718002,2.3921334922526816,5.811680572109655,6.67103694874851,18.526817640047675,0.8760429082240763,0.6495828367103695,0,5.673299825,satisfy,0
