Filename,11AutonomousSearchAverageSizeOfHeap,11AutonomousSearchNumAssignedPredicatesEncountered,11AutonomousSearchNumBackupCalled,11AutonomousSearchNumCalls,11AutonomousSearchNumPredicatesAdded,11AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,paths
qcp-10-67-0_ext,271,271,0,1,271,0,0,0,0,45,575,7391,0,82,20,67,0.163032,11.577777777777778,7.644444444444445,3.088888888888889,5.888888888888889,0.28888888888888886,0.6888888888888889,0,0.2595684,satisfy,0
qcp-10-67-10_ext,,,,,,,0,0,1,85,166,8019,0,72,20,67,0.0547342,1.9761904761904763,2.7023809523809526,2.3625,4.869047619047619,0.5119047619047619,0.35714285714285715,4,0.200036439,satisfy,0
qcp-10-67-11_ext,,,,,,,0,0,1,233,652,31255,0,258,20,67,0.0657721,2.810344827586207,3.2586206896551726,4.018018018018018,9.163793103448276,0.521551724137931,0.21551724137931033,10,0.17760945,satisfy,0
qcp-10-67-12_ext,,,,,,,0,0,1,149,413,15943,0,137,20,67,0.0717203,2.7905405405405403,2.945945945945946,3.9571428571428573,8.68918918918919,0.9121621621621622,0.30405405405405406,8,0.271373005,satisfy,0
qcp-10-67-13_ext,,,,,,,0,0,1,136,391,17753,0,125,20,67,0.0594034,2.8962962962962964,2.8740740740740742,2.857142857142857,5.614814814814815,0.6518518518518519,0.23703703703703705,2,0.205141532,satisfy,0
qcp-10-67-14_ext,,,,,,,0,0,1,22,48,2384,0,19,20,67,0.0728304,2.2857142857142856,2.5238095238095237,1.25,2.761904761904762,0.14285714285714285,0.14285714285714285,5,0.181250256,satisfy,0
qcp-10-67-1_ext,352,352,0,1,352,0,0,0,0,43,300,6502,0,57,20,67,0.0532504,6,7.976744186046512,3.627906976744186,7.27906976744186,0.18604651162790697,0.4186046511627907,0,0.14803589,satisfy,0
qcp-10-67-2_ext,745,745,0,1,745,0,0,0,0,90,677,13314,0,129,20,67,0.0649458,6.955555555555556,7.233333333333333,3.611111111111111,6.933333333333334,0.36666666666666664,0.5444444444444444,0,0.234247663,satisfy,0
qcp-10-67-3_ext,1017,1017,0,1,1017,0,0,0,0,93,642,9145,0,78,20,67,0.0574499,6.365591397849462,4.698924731182796,5.225806451612903,11.333333333333334,0.5053763440860215,0.3548387096774194,0,0.134390648,satisfy,0
qcp-10-67-4_ext,224,224,0,1,224,0,0,0,0,32,409,6197,0,52,20,67,0.0583859,11.0625,6.34375,3.34375,5.75,0.125,0.53125,0,0.136314534,satisfy,0
qcp-10-67-5_ext,706,706,0,1,706,0,0,0,0,60,412,7113,0,52,20,67,0.0652733,6.1,5.2,4.25,9.483333333333333,0.45,0.4666666666666667,0,0.244130465,satisfy,0
qcp-10-67-6_ext,226,226,0,1,226,0,0,0,0,44,483,10584,0,84,20,67,0.0760921,10.022727272727273,8.659090909090908,3.159090909090909,5.909090909090909,0.29545454545454547,0.6136363636363636,0,0.227227791,satisfy,0
qcp-10-67-7_ext,1205,1205,0,1,1205,0,0,0,0,481,1460,63190,0,498,20,67,0.0702776,2.9376299376299375,3.5218295218295217,3.1106471816283925,8.311850311850312,0.49480249480249483,0.3866943866943867,2,0.126738584,satisfy,0
qcp-10-67-8_ext,300,300,0,1,300,0,0,0,0,53,634,9392,0,79,20,67,0.0614267,10.90566037735849,7.547169811320755,3.0754716981132075,5.69811320754717,0.32075471698113206,0.6415094339622641,0,0.281170093,satisfy,0
qcp-10-67-9_ext,1375,1375,0,1,1375,0,0,0,0,297,1214,38265,0,358,20,67,0.0738072,3.9158249158249157,3.9764309764309766,4.053872053872054,9.124579124579125,0.3602693602693603,0.4713804713804714,0,0.239234872,satisfy,0
qcp-15-120-0_ext,3304,3304,0,1,3304,0,0,0,0,858,5479,195736,0,1993,30,120,0.062919,6.264568764568764,5.018648018648019,7.506993006993007,24.313519813519815,1.0337995337995338,0.5116550116550117,0,9.166797329,satisfy,0
qcp-15-120-10_ext,,,,,,,0,0,1,5760,13172,1228090,0,11438,30,120,0.064147,2.2872026393471088,4.3637784337558605,6.3441682600382405,20.379058864386177,2.510678937315506,0.5598194130925508,6,10.38988047,satisfy,0
qcp-15-120-11_ext,,,,,,,0,0,1,49,260,24897,0,233,30,120,0.0721459,5.416666666666667,2.8125,1.9743589743589745,3.6666666666666665,0.3125,0.375,9,3.0429876240000002,satisfy,0
qcp-15-120-12_ext,,,,,,,0,0,1,697,2719,152222,0,1449,30,120,0.0563698,3.906609195402299,3.307471264367816,6.1313131313131315,17.179597701149426,0.9669540229885057,0.4396551724137931,3,7.36839141,satisfy,0
qcp-15-120-13_ext,,,,,,,0,0,1,10807,23586,2215616,0,20193,30,120,0.0725604,2.1826762909494724,4.772903942254303,5.307898879525882,23.894410512678142,4.553951508421248,0.8713677586526004,7,5.8167506,satisfy,0
qcp-15-120-14_ext,,,,,,,0,0,1,446,1471,119107,0,1243,30,120,0.0574938,3.30561797752809,2.986516853932584,4.266968325791855,11.314606741573034,0.9146067415730337,0.3415730337078652,3,6.207131677,satisfy,0
qcp-15-120-1_ext,3268,3268,0,1,3268,0,0,0,0,2143,7268,550792,0,5272,30,120,0.0651419,3.351376574895007,4.919272048530098,8.850209986000934,32.676154923005136,3.1931871208586093,0.6677554829678022,0,6.7402618499999996,satisfy,0
qcp-15-120-2_ext,3252,3252,0,1,3252,0,0,0,0,860,6011,221324,0,2185,30,120,0.0662924,6.863953488372093,4.058139534883721,7.030232558139535,17.606976744186046,0.5988372093023255,0.4116279069767442,0,5.356156816,satisfy,0
qcp-15-120-3_ext,2417,2417,0,1,2417,0,0,0,0,237,3173,71636,0,690,30,120,0.565846,13,5.177215189873418,3.679324894514768,8.628691983122362,0.459915611814346,0.46835443037974683,0,4.412463323,satisfy,0
qcp-15-120-4_ext,1625,1625,0,1,1625,0,0,0,0,174,2764,55507,0,564,30,120,0.0725027,15.35632183908046,5.189655172413793,3.3160919540229883,6.603448275862069,0.3333333333333333,0.5057471264367817,0,6.914770379,satisfy,0
qcp-15-120-5_ext,4011,4011,0,1,4011,0,0,0,0,13185,33446,3282989,0,34727,30,120,0.144239,2.529541145240804,5.138642396662874,6.114331234352477,27.7806598407281,5.4094804702313235,1.0056124383769436,4,6.518564928,satisfy,0
qcp-15-120-6_ext,3337,3337,0,1,3337,0,0,0,0,1272,7146,363848,0,3858,30,120,0.072692,5.539308176100629,3.922169811320755,7.296383647798742,22.681603773584907,1.0731132075471699,0.3490566037735849,0,5.617151705,satisfy,0
qcp-15-120-7_ext,3655,3655,0,1,3655,0,0,0,0,4421,11745,971065,0,9562,30,120,0.149612,2.635376611626329,5.144537434969464,10.285746606334842,34.719068084143856,2.317349016059715,0.5733996833295635,1,5.408690936,satisfy,0
qcp-15-120-8_ext,3461,3461,0,1,3461,0,0,0,0,1116,6853,280379,0,2840,30,120,0.217873,6.054659498207886,4.577956989247312,6.96415770609319,22.595878136200717,1.2598566308243728,0.543010752688172,0,11.048166607,satisfy,0
qcp-15-120-9_ext,3779,3779,0,1,3779,0,0,0,0,12914,32546,2624227,0,26443,30,120,0.155163,2.513009137370296,5.066439522998296,7.855970264828868,30.02710236952145,3.1406225801455783,0.8053275514945021,0,11.471760225,satisfy,0
qcp-20-187-0_ext,,,,,,,1,0,0,,,,,,40,187,0.0678736,,,,,,,,,satisfy,0
qcp-20-187-10_ext,,,,,,,1,0,0,,,,,,40,187,0.189243,,,,,,,,,satisfy,0
qcp-20-187-11_ext,,,,,,,1,0,0,,,,,,40,187,0.200018,,,,,,,,,satisfy,0
qcp-20-187-12_ext,,,,,,,1,0,0,,,,,,40,187,0.184101,,,,,,,,,satisfy,0
qcp-20-187-13_ext,,,,,,,1,0,0,,,,,,40,187,0.210585,,,,,,,,,satisfy,0
qcp-20-187-14_ext,,,,,,,1,0,0,,,,,,40,187,0.18782,,,,,,,,,satisfy,0
qcp-20-187-1_ext,,,,,,,1,0,0,,,,,,40,187,0.182645,,,,,,,,,satisfy,0
qcp-20-187-2_ext,,,,,,,1,0,0,,,,,,40,187,0.184767,,,,,,,,,satisfy,0
qcp-20-187-3_ext,,,,,,,1,0,0,,,,,,40,187,0.175666,,,,,,,,,satisfy,0
qcp-20-187-4_ext,,,,,,,1,0,0,,,,,,40,187,0.203315,,,,,,,,,satisfy,0
qcp-20-187-5_ext,,,,,,,1,0,0,,,,,,40,187,0.215224,,,,,,,,,satisfy,0
qcp-20-187-6_ext,,,,,,,1,0,0,,,,,,40,187,0.192199,,,,,,,,,satisfy,0
qcp-20-187-7_ext,,,,,,,1,0,0,,,,,,40,187,0.206225,,,,,,,,,satisfy,0
qcp-20-187-8_ext,,,,,,,1,0,0,,,,,,40,187,0.198266,,,,,,,,,satisfy,0
qcp-20-187-9_ext,,,,,,,1,0,0,,,,,,40,187,0.18902,,,,,,,,,satisfy,0
qcp-25-264-0_ext,,,,,,,1,0,0,,,,,,50,264,0.206784,,,,,,,,,satisfy,0
qcp-25-264-10_ext,,,,,,,1,0,0,,,,,,50,264,0.199412,,,,,,,,,satisfy,0
qcp-25-264-11_ext,,,,,,,1,0,0,,,,,,50,264,0.168935,,,,,,,,,satisfy,0
qcp-25-264-12_ext,,,,,,,1,0,0,,,,,,50,264,0.182938,,,,,,,,,satisfy,0
qcp-25-264-13_ext,,,,,,,1,0,0,,,,,,50,264,0.176961,,,,,,,,,satisfy,0
qcp-25-264-14_ext,,,,,,,1,0,0,,,,,,50,264,0.204029,,,,,,,,,satisfy,0
qcp-25-264-1_ext,,,,,,,1,0,0,,,,,,50,264,0.206106,,,,,,,,,satisfy,0
qcp-25-264-2_ext,,,,,,,1,0,0,,,,,,50,264,0.177988,,,,,,,,,satisfy,0
qcp-25-264-3_ext,,,,,,,1,0,0,,,,,,50,264,0.210916,,,,,,,,,satisfy,0
