Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
qcp-10-67-0_ext,140.16876574307304,17510,159,397,1152,0,0,0,0,127,894,36912,0,346,20,100,0.369499,6.826771653543307,9.716535433070867,4.330708661417323,7.511811023622047,0.3464566929133858,0.49606299212598426,0,0.371289437,satisfy,1,0
qcp-10-67-10_ext,,,,,,,0,0,1,43,158,8029,0,180,20,100,0.288314,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.306960022,satisfy,0,0
qcp-10-67-11_ext,,,,,,,0,0,1,221,616,34270,0,313,20,100,0.228792,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.19455147,satisfy,0,0
qcp-10-67-12_ext,,,,,,,0,0,1,185,604,29305,0,344,20,100,0.358297,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.271571659,satisfy,0,0
qcp-10-67-13_ext,,,,,,,0,0,1,8,24,1341,0,9,20,100,0.176841,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.207033326,satisfy,0,0
qcp-10-67-14_ext,,,,,,,0,0,1,19,83,4936,0,39,20,100,0.260036,4.611111111111111,2.388888888888889,1.9285714285714286,3.6666666666666665,0.3333333333333333,0.2222222222222222,4,0.290503378,satisfy,0,0
qcp-10-67-1_ext,84.01408450704226,7459,97,142,860,0,0,0,0,96,461,24022,0,241,20,100,0.309362,4.59375,7.645833333333333,3.875,7.78125,0.2916666666666667,0.625,0,0.215129531,satisfy,1,0
qcp-10-67-2_ext,55.31558935361217,6743,133,263,804,0,0,0,0,106,429,21871,0,470,20,100,0.267908,3.849056603773585,10.641509433962264,3.3773584905660377,7.622641509433962,0.41509433962264153,0.6415094339622641,0,0.305022899,satisfy,1,0
qcp-10-67-3_ext,96.25714285714285,10566,143,210,1400,0,0,0,0,169,493,23491,0,227,20,100,0.347299,2.804733727810651,6.017751479289941,4.207100591715976,9.21301775147929,0.31952662721893493,0.5502958579881657,0,0.139310953,satisfy,1,0
qcp-10-67-4_ext,139.7560975609756,14851,106,123,932,0,0,0,0,92,470,25620,0,361,20,100,0.223386,4.880434782608695,5.9021739130434785,4.271739130434782,7.239130434782608,0.18478260869565216,0.4782608695652174,0,0.245451074,satisfy,1,0
qcp-10-67-5_ext,25.466666666666665,3353,126,165,582,0,0,0,0,80,347,16755,0,181,20,100,0.321437,4.0625,9.175,3.625,7.1125,0.125,0.5125,0,0.262579812,satisfy,1,0
qcp-10-67-6_ext,154.6797583081571,18049,131,331,1201,0,0,0,0,119,744,32298,0,426,20,100,0.290825,6.008403361344538,12.327731092436975,6.26890756302521,10.168067226890756,0.3445378151260504,0.5042016806722689,0,0.178985105,satisfy,1,0
qcp-10-67-7_ext,157.40462427745663,12578,92,173,999,0,0,0,0,127,625,31595,0,294,20,100,0.334299,4.708661417322834,6.881889763779528,3.738095238095238,6.78740157480315,0.2440944881889764,0.5984251968503937,1,0.117006072,satisfy,1,0
qcp-10-67-8_ext,94.9249530956848,12918,180,533,909,0,0,0,0,127,912,47362,0,746,20,100,0.275716,7.0236220472440944,9.275590551181102,3.62992125984252,6.818897637795276,0.25196850393700787,0.7086614173228346,0,0.451585781,satisfy,1,0
qcp-10-67-9_ext,131.5595667870036,15769,161,277,1063,0,0,0,0,116,708,39780,0,1026,20,100,0.261518,5.913793103448276,9.810344827586206,4.353448275862069,8.568965517241379,0.29310344827586204,0.6551724137931034,0,0.355823451,satisfy,1,0
qcp-15-120-0_ext,447.4568306010929,118929,356,915,3969,0,0,0,0,333,1741,148834,0,2735,30,225,0.406834,5.123123123123123,9.315315315315315,4.672672672672673,9.936936936936936,0.4444444444444444,0.6426426426426426,0,13.138906731,satisfy,1,0
qcp-15-120-10_ext,,,,,,,0,0,1,5316,8811,1115584,0,16715,30,225,0.256918,1.657761053621825,4.365945437441204,5.546362608367885,20.57008466603951,2.5969896519285043,0.6735653809971778,9,13.871833535,satisfy,0,0
qcp-15-120-11_ext,,,,,,,0,0,1,44,127,13429,0,128,30,225,0.296811,2.953488372093023,2.3255813953488373,3.85,7.883720930232558,0.4883720930232558,0.4883720930232558,3,4.556844461,satisfy,0,0
qcp-15-120-12_ext,,,,,,,0,0,1,1572,2734,339160,0,6658,30,225,0.308669,1.740292807129217,3.9713558243157223,6.0140575079872205,20.502227880331,1.5983450031826862,0.5754296626352642,6,11.603436082,satisfy,0,0
qcp-15-120-13_ext,,,,,,,0,0,1,3398,4979,635864,0,7333,30,225,0.244819,1.4657050338534001,4.108919634972034,4.960743801652892,21.239623196938474,2.6970856638210186,0.7044450986164262,9,5.7455857120000005,satisfy,0,0
qcp-15-120-14_ext,,,,,,,0,0,1,102,307,32091,0,314,30,225,0.427057,3.0396039603960396,2.613861386138614,4.23469387755102,8.455445544554456,0.693069306930693,0.5148514851485149,3,10.256627458,satisfy,0,0
qcp-15-120-1_ext,354.75371549893845,81079,294,471,4195,0,0,0,0,714,1443,179914,0,2270,30,225,0.437191,1.9943977591036415,5.170868347338936,7.03781512605042,19.904761904761905,0.7170868347338936,0.5280112044817927,0,34.858836,satisfy,1,0
qcp-15-120-2_ext,410.56375838926175,148506,353,745,3572,0,0,0,0,376,1917,193364,0,6243,30,225,0.426002,5.0212765957446805,10.558510638297872,5.805851063829787,11.752659574468085,0.3324468085106383,0.6382978723404256,0,6.990893557,satisfy,1,0
qcp-15-120-3_ext,222.01845018450186,92448,347,813,4879,0,0,0,0,1784,3458,406600,0,6045,30,225,0.272643,1.9321748878923768,5.693946188340807,6.332399103139013,25.09865470852018,1.6659192825112108,0.7982062780269058,0,8.103209127,satisfy,1,0
qcp-15-120-4_ext,597.6418732782369,132107,307,726,4499,0,0,0,0,1449,3067,306304,0,7378,30,225,0.550655,2.1021394064872325,5.294685990338165,7.536231884057971,24.46928916494134,1.8888888888888888,1.013112491373361,0,12.770961996,satisfy,1,0
qcp-15-120-5_ext,681.0879345603272,157892,277,978,5253,0,0,0,0,3043,5672,659491,0,12071,30,225,0.162815,1.8590207032533683,4.557344725599737,5.037146614069691,18.435425566874795,1.3263227078540913,0.527768649359185,1,32.272159499,satisfy,1,0
qcp-15-120-6_ext,592.7345424567188,159188,246,1213,4925,0,0,0,0,862,2624,236469,0,3328,30,225,0.497823,3.01508120649652,7.121809744779583,7.081206496519721,19.34106728538283,0.9605568445475638,0.6716937354988399,0,10.357036196,satisfy,1,0
qcp-15-120-7_ext,540.1058139534883,119012,364,860,4570,0,0,0,0,1105,2619,270254,0,5010,30,225,0.675746,2.3529411764705883,5.350226244343891,7.206521739130435,21.36289592760181,1.2597285067873303,0.6289592760180995,1,16.221325836,satisfy,1,0
qcp-15-120-8_ext,510.9203821656051,127869,331,942,5139,0,0,0,0,4613,7500,965644,0,19121,30,225,0.227672,1.6199869932798612,6.144808150877954,9.693258183394754,34.22718404508996,2.7686971601994363,0.9536093648384999,0,24.378110728,satisfy,1,0
qcp-15-120-9_ext,378.1089494163424,108546,319,771,4713,0,0,0,0,7179,10494,1351732,0,27316,30,225,3.26335,1.4602312299763198,5.217996935506338,7.517481543390445,27.999164229001252,3.3801365092631284,0.9977712773366764,0,10.7351309,satisfy,1,0
qcp-20-187-0_ext,,,,,,,0,1,0,,,,,,40,400,0.446033,,,,,,,,,satisfy,,0
qcp-20-187-10_ext,,,,,,,0,1,0,,,,,,40,400,0.545826,,,,,,,,,satisfy,,0
qcp-20-187-11_ext,,,,,,,0,1,0,,,,,,40,400,0.423175,,,,,,,,,satisfy,,0
qcp-20-187-12_ext,,,,,,,0,1,0,,,,,,40,400,2.35842,,,,,,,,,satisfy,,0
qcp-20-187-13_ext,,,,,,,0,1,0,,,,,,40,400,0.810646,,,,,,,,,satisfy,,0
qcp-20-187-14_ext,,,,,,,0,1,0,,,,,,40,400,0.664017,,,,,,,,,satisfy,,0
qcp-20-187-1_ext,,,,,,,0,1,0,,,,,,40,400,0.421101,,,,,,,,,satisfy,,0
qcp-20-187-2_ext,,,,,,,0,1,0,,,,,,40,400,0.438446,,,,,,,,,satisfy,,0
qcp-20-187-3_ext,,,,,,,0,1,0,,,,,,40,400,0.40568,,,,,,,,,satisfy,,0
qcp-20-187-4_ext,,,,,,,0,1,0,,,,,,40,400,0.510568,,,,,,,,,satisfy,,0
qcp-20-187-5_ext,,,,,,,0,1,0,,,,,,40,400,0.416362,,,,,,,,,satisfy,,0
qcp-20-187-6_ext,,,,,,,0,1,0,,,,,,40,400,0.460071,,,,,,,,,satisfy,,0
qcp-20-187-7_ext,,,,,,,0,1,0,,,,,,40,400,0.438604,,,,,,,,,satisfy,,0
qcp-20-187-8_ext,,,,,,,0,1,0,,,,,,40,400,0.516033,,,,,,,,,satisfy,,0
qcp-20-187-9_ext,,,,,,,0,1,0,,,,,,40,400,0.713851,,,,,,,,,satisfy,,0
qcp-25-264-0_ext,,,,,,,0,1,0,,,,,,50,625,0.503182,,,,,,,,,satisfy,,0
qcp-25-264-10_ext,,,,,,,0,1,0,,,,,,50,625,0.54633,,,,,,,,,satisfy,,0
qcp-25-264-11_ext,,,,,,,0,1,0,,,,,,50,625,0.493136,,,,,,,,,satisfy,,0
qcp-25-264-12_ext,,,,,,,0,1,0,,,,,,50,625,0.536505,,,,,,,,,satisfy,,0
qcp-25-264-13_ext,,,,,,,0,1,0,,,,,,50,625,0.510223,,,,,,,,,satisfy,,0
qcp-25-264-14_ext,,,,,,,0,1,0,,,,,,50,625,0.448674,,,,,,,,,satisfy,,0
qcp-25-264-1_ext,,,,,,,0,1,0,,,,,,50,625,0.577827,,,,,,,,,satisfy,,0
