Filename,11AutonomousSearchAverageSizeOfHeap,11AutonomousSearchNumAssignedPredicatesEncountered,11AutonomousSearchNumBackupCalled,11AutonomousSearchNumCalls,11AutonomousSearchNumPredicatesAdded,11AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
qcp-10-67-0_ext,916,916,0,1,916,0,0,0,0,97,748,16417,0,177,20,100,0.342124,7.020618556701031,4.505154639175258,3.7731958762886597,7.020618556701031,0.14432989690721648,0.4845360824742268,0,0.214117377,satisfy,1,0
qcp-10-67-10_ext,,,,,,,0,0,1,85,166,8021,0,105,20,100,0.297509,1.9761904761904763,2.7142857142857144,2.3625,4.869047619047619,0.5119047619047619,0.35714285714285715,4,0.354115112,satisfy,0,0
qcp-10-67-11_ext,,,,,,,0,0,1,360,1032,48901,0,542,20,100,0.221199,2.8746518105849583,3.083565459610028,3.784702549575071,8.072423398328691,0.5598885793871866,0.2757660167130919,6,0.296684703,satisfy,0,0
qcp-10-67-12_ext,,,,,,,0,0,1,91,236,8473,0,78,20,100,0.283439,2.6222222222222222,3.933333333333333,2.3529411764705883,4.9222222222222225,0.7333333333333333,0.26666666666666666,5,0.229412598,satisfy,0,0
qcp-10-67-13_ext,,,,,,,0,0,1,136,391,17754,0,144,20,100,0.313287,2.8962962962962964,2.8740740740740742,2.857142857142857,5.614814814814815,0.6518518518518519,0.23703703703703705,2,0.194160364,satisfy,0,0
qcp-10-67-14_ext,,,,,,,0,0,1,33,63,3250,0,26,20,100,0.301719,1.96875,2.34375,1.6666666666666667,3.25,0.53125,0.09375,5,0.284301284,satisfy,0,0
qcp-10-67-1_ext,390,390,0,1,390,0,0,0,0,48,370,8284,0,78,20,100,0.272048,6.791666666666667,7.875,3.5625,7.25,0.22916666666666666,0.4375,0,0.129914085,satisfy,1,0
qcp-10-67-2_ext,374,374,0,1,374,0,0,0,0,51,559,7363,0,162,20,100,0.159208,10.215686274509803,8.92156862745098,3.3529411764705883,7.529411764705882,0.3137254901960784,0.5686274509803921,0,0.461169296,satisfy,1,0
qcp-10-67-3_ext,1027,1027,0,1,1027,0,0,0,0,94,670,8266,0,88,20,100,0.215588,6.6063829787234045,4.691489361702128,5.191489361702128,11.22340425531915,0.48936170212765956,0.3829787234042553,0,0.24591084,satisfy,1,0
qcp-10-67-4_ext,282,282,0,1,282,0,0,0,0,31,345,4990,0,43,20,100,0.279909,9.387096774193548,5.451612903225806,3.5161290322580645,5.612903225806452,0.12903225806451613,0.4838709677419355,0,0.196498955,satisfy,1,0
