Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,mddMaxWidth,method,nSolutions,paths,reportedMdd
s3-01,73,73,0,1,73,0,0,0,0,92,98,719,0,218,3,20,0.0362055,1,9.695652173913043,4.184782608695652,6.086956521739131,1.7608695652173914,0,0,0.040628375,,satisfy,1,0,0
s3-02,73,73,0,1,73,0,0,0,0,54,60,479,0,134,3,20,0.0364589,1,9.666666666666666,4.444444444444445,5.888888888888889,1.6296296296296295,0,0,0.03265375,,satisfy,1,0,0
s3-03,70,70,0,1,70,0,0,0,0,66,69,506,0,156,3,20,0.0526807,1,9.848484848484848,4.424242424242424,6.621212121212121,1.5151515151515151,0,0,0.034762083,,satisfy,1,0,0
s3-04,77,77,0,1,77,0,0,0,0,484,488,4026,0,963,3,20,0.0355695,1,9.555785123966942,3.701461377870564,4.944214876033058,2.5371900826446283,0,5,0.033179125,,satisfy,1,0,0
s3-05,77,77,0,1,77,0,0,0,0,334,341,2653,0,654,3,20,0.0361867,1.0119760479041917,9.58682634730539,3.933933933933934,5.583832335329341,2.44311377245509,0,1,0.028409208,,satisfy,1,0,0
s3-06,,,,,,,0,0,1,388,387,3084,0,833,3,20,0.0364922,1,9.462532299741602,3.477690288713911,4.956072351421189,2.157622739018088,0,6,0.033064917,,satisfy,0,0,0
s3-07,73,73,0,1,73,0,0,0,0,123,127,959,0,314,3,20,0.0358383,1.008130081300813,9.821138211382113,4.1138211382113825,6.308943089430894,1.7154471544715446,0,0,0.037760125,,satisfy,1,0,0
s3-08,77,77,0,1,77,0,0,0,0,309,312,2503,0,696,3,20,0.0366876,1,9.391585760517799,3.7435064935064934,5.433656957928803,2.0841423948220066,0,1,0.031640667,,satisfy,1,0,0
s3-09,77,77,0,1,77,0,0,0,0,181,187,1442,0,394,3,20,0.0404127,1,9.171270718232044,3.511111111111111,5.176795580110498,2.0497237569060776,0,1,0.038092375,,satisfy,1,0,0
s3-10,77,77,0,1,77,0,0,0,0,320,324,2598,0,693,3,20,0.0529391,1,9.659375,3.591194968553459,5.115625,2.4375,0,2,0.034835875,,satisfy,1,0,0
s4-01,112,112,0,1,112,0,0,0,0,39823,39856,343291,0,501536,4,30,0.0373069,1.0005524445672098,15.486854330412074,8.784847952188434,11.700775933505764,5.6905054867789975,0,0,6.233380834,,satisfy,1,0,0
s4-02,116,116,0,1,116,0,0,0,0,102282,102334,873268,0,1045231,4,30,0.137844,1.0004301832189437,15.354353649713538,8.699986312352124,10.657251520306604,7.101034395103733,0,0,6.312853209,,satisfy,1,0,0
s4-03,117,117,0,1,117,0,0,0,0,171680,173715,1594691,0,2523055,4,30,0.0655391,1.011789375582479,15.125582479030754,7.993569281670123,9.804677306616961,6.457205265610438,0,4,6.901461917,,satisfy,1,0,0
s4-04,113,113,0,1,113,0,0,0,0,43164,43211,374383,0,566361,4,30,0.0657151,1.000810860902604,15.827796311741265,8.808497822259291,11.46997497914929,5.828398665554629,0,0,7.1944022499999996,,satisfy,1,0,0
s4-05,107,107,0,1,107,0,0,0,0,9242,9257,85057,0,127263,4,30,0.061783,1.0004328067517854,15.433564163600952,9.007465916468297,11.90824496862151,4.649967539493616,0,0,5.328366792,,satisfy,1,0,0
s4-06,110,110,0,1,110,0,0,0,0,27678,27731,234537,0,424901,4,30,0.0675627,1.001589710239179,15.747994797311945,8.89121323795072,12.277837994074716,4.936483849989161,0,0,6.55603525,,satisfy,1,0,0
s4-07,,,,,,,0,1,0,253283,253570,2163058,0,3592518,4,30,0.0484458,1.0011094309527289,15.599941567337721,8.4310390435919,10.847546025591926,6.439409672184868,0,2,7.406101541,,satisfy,0,0,0
s4-08,113,113,0,1,113,0,0,0,0,54047,54069,455914,0,628554,4,30,0.0611983,1.0002405313893463,15.625455621958666,9.20929931356042,11.735544988621015,6.053638499824227,0,0,7.357427083,,satisfy,1,0,0
s4-09,104,104,0,1,104,0,0,0,0,2747,2762,24616,0,31881,4,30,0.0545217,1.001820167455406,15.390971969421187,9.15435020021842,11.373134328358208,4.996723698580269,0,0,4.34762225,,satisfy,1,0,0
