Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
s3-01,73,73,0,1,73,0,0,0,0,113,120,936,0,227,3,20,0.0436684,1,9.893805309734514,4.495575221238938,5.911504424778761,2.646017699115044,0,0,0.105361143,satisfy,1,0
s3-02,73,73,0,1,73,0,0,0,0,102,110,776,0,187,3,20,0.0446398,1.0098039215686274,9.950980392156863,4.813725490196078,6.490196078431373,2.156862745098039,0,0,0.101829719,satisfy,1,0
s3-03,70,70,0,1,70,0,0,0,0,85,90,701,0,177,3,20,0.0444147,1,9.988235294117647,4.705882352941177,6.752941176470588,2.011764705882353,0,0,0.106806392,satisfy,1,0
s3-04,77,77,0,1,77,0,0,0,0,652,657,5194,0,1000,3,20,0.0453173,1.0015337423312884,9.625766871165645,3.894899536321484,5.012269938650307,3.1134969325153374,0,5,0.099912688,satisfy,1,0
s3-05,77,77,0,1,77,0,0,0,0,334,341,2653,0,585,3,20,0.0434998,1.0119760479041917,9.58682634730539,3.933933933933934,5.583832335329341,2.44311377245509,0,1,0.025273641,satisfy,1,0
s3-06,77,77,0,1,77,0,0,0,0,515,516,4284,0,942,3,20,0.0458574,1,9.667961165048544,3.699410609037328,5.036893203883495,2.712621359223301,0,6,0.103857,satisfy,1,0
s3-07,73,73,0,1,73,0,0,0,0,166,170,1317,0,333,3,20,0.0435285,1.0060240963855422,9.981927710843374,4.403614457831325,6.4879518072289155,1.9939759036144578,0,0,0.105478585,satisfy,1,0
s3-08,77,77,0,1,77,0,0,0,0,309,312,2503,0,594,3,20,0.0425186,1,9.391585760517799,3.7435064935064934,5.433656957928803,2.0841423948220066,0,1,0.0291261,satisfy,1,0
s3-09,77,77,0,1,77,0,0,0,0,181,187,1442,0,308,3,20,0.0437587,1,9.171270718232044,3.511111111111111,5.176795580110498,2.0497237569060776,0,1,0.028736099,satisfy,1,0
s3-10,77,77,0,1,77,0,0,0,0,381,386,3090,0,598,3,20,0.0447821,1.0026246719160106,9.761154855643044,3.7097625329815305,5.26246719160105,2.6692913385826773,0,2,0.101118549,satisfy,1,0
s4-01,113,113,0,1,113,0,0,0,0,60229,60299,488902,0,819977,4,30,0.0445188,1.000979594547477,15.57814341928307,9.352969499742649,11.765860299855552,6.660545584353052,0,0,114.421760405,satisfy,1,0
s4-02,116,116,0,1,116,0,0,0,0,140278,140403,1132990,0,1561001,4,30,0.0457711,1.0008340580846604,15.419424286060536,9.049002694649197,10.787293802306849,7.7221802420907055,0,0,147.058424749,satisfy,1,0
s4-03,,,,,,,0,1,0,258073,260085,2109366,0,3476828,4,30,0.0453896,1.0077691195901934,15.270725724891793,8.941136582039121,10.72854967392947,7.536859725736516,0,1,123.133029097,satisfy,0,0
s4-04,112,112,0,1,112,0,0,0,0,77953,78042,620746,0,1007243,4,30,0.0457712,1.000987774684746,15.71458442907906,9.682039177453081,11.629661462676228,7.195848780675536,0,0,123.836013101,satisfy,1,0
s4-05,107,107,0,1,107,0,0,0,0,12281,12301,109414,0,183663,4,30,0.0450495,1.00073283934533,15.413647097141926,9.556387916293462,11.954808240371305,5.372200960833808,0,0,44.402856016,satisfy,1,0
s4-06,108,108,0,1,108,0,0,0,0,55797,55928,418588,0,680082,4,30,0.0606698,1.0021864974819434,15.59935121959962,10.2414825169812,12.552359445848342,6.721060272057637,0,0,123.118799441,satisfy,1,0
s4-07,,,,,,,0,1,0,276741,277235,2132462,0,3453914,4,30,0.0690576,1.0017561546716967,15.77807408371004,9.279972971117399,11.691509389645914,7.485479202575694,0,0,145.993759348,satisfy,0,0
s4-08,113,113,0,1,113,0,0,0,0,66183,66212,546241,0,863940,4,30,0.0449729,1.0003021924059048,15.632080745810859,9.53010591843827,11.722436275176404,6.492694498587251,0,0,68.107156603,satisfy,1,0
s4-09,104,104,0,1,104,0,0,0,0,3035,3055,27007,0,44920,4,30,0.0445188,1.0029654036243822,15.457001647446457,9.320593080724876,11.454036243822076,5.144316309719934,0,0,33.878300331,satisfy,1,0
s4-10,,,,,,,0,1,0,316884,317156,2555405,0,3474440,4,30,0.0443156,1.0008236452455788,15.526441852539099,9.250347920210299,11.101273652188182,7.636182325393519,0,1,125.515214082,satisfy,0,0
s5-01,,,,,,,0,1,0,,,,,,5,40,0.0455327,,,,,,,,,satisfy,,0
s5-02,,,,,,,0,1,0,,,,,,5,40,0.0897154,,,,,,,,,satisfy,,0
s5-03,,,,,,,0,1,0,,,,,,5,40,0.0896273,,,,,,,,,satisfy,,0
s5-04,,,,,,,0,1,0,,,,,,5,40,0.0860424,,,,,,,,,satisfy,,0
s5-05,,,,,,,0,1,0,,,,,,5,40,0.0865662,,,,,,,,,satisfy,,0
s5-06,,,,,,,0,1,0,,,,,,5,40,0.0853843,,,,,,,,,satisfy,,0
s5-07,,,,,,,0,1,0,,,,,,5,40,0.0872369,,,,,,,,,satisfy,,0
s5-08,,,,,,,0,1,0,,,,,,5,40,0.0866868,,,,,,,,,satisfy,,0
s5-09,,,,,,,0,1,0,,,,,,5,40,0.0860747,,,,,,,,,satisfy,,0
s5-10,,,,,,,0,1,0,,,,,,5,40,0.0874621,,,,,,,,,satisfy,,0
u3-01,,,,,,,0,0,1,438,437,3522,0,845,3,20,0.0875922,1,9.416475972540045,3.5906976744186045,5.032036613272311,2.4324942791762014,0,7,0.029727486,satisfy,0,0
u3-02,,,,,,,0,0,1,650,650,5324,0,1020,3,20,0.0422231,1.0015408320493067,9.691833590138675,3.9237947122861585,5.2265023112480735,2.830508474576271,0,6,0.100241541,satisfy,0,0
u3-03,,,,,,,0,0,1,616,615,4924,0,1030,3,20,0.0428504,1,9.46829268292683,3.8686371100164205,5.045528455284553,2.840650406504065,0,6,0.102460537,satisfy,0,0
u3-04,,,,,,,0,0,1,642,642,5008,0,1159,3,20,0.0418848,1.001560062402496,9.382215288611544,3.829652996845426,5.174726989079563,2.6318252730109206,0,7,0.107358318,satisfy,0,0
u3-05,,,,,,,0,0,1,653,654,5245,0,1072,3,20,0.0423042,1.0030674846625767,9.743865030674847,3.8728682170542634,5.136503067484663,2.8834355828220857,0,7,0.101146578,satisfy,0,0
u3-06,,,,,,,0,0,1,350,349,2937,0,667,3,20,0.0424678,1,9.063037249283667,3.3508771929824563,4.782234957020058,1.9570200573065903,0,7,0.031761665,satisfy,0,0
u3-07,,,,,,,0,0,1,537,539,4221,0,1027,3,20,0.042304,1.0055970149253732,9.526119402985074,3.66351606805293,5.014925373134329,2.7313432835820897,0,7,0.108123717,satisfy,0,0
u3-08,,,,,,,0,0,1,315,314,2640,0,506,3,20,0.042195,1,9.26751592356688,3.25,4.592356687898089,2.1974522292993632,0,6,0.029324734,satisfy,0,0
u3-09,,,,,,,0,0,1,523,525,4216,0,914,3,20,0.0427496,1.0057471264367817,9.482758620689655,3.7689320388349516,5.063218390804598,2.6551724137931036,0,7,0.106270363,satisfy,0,0
u3-10,,,,,,,0,0,1,551,550,4591,0,948,3,20,0.0421479,1,9.618181818181819,3.736162361623616,4.918181818181818,2.7581818181818183,0,8,0.101519738,satisfy,0,0
u4-01,,,,,,,0,1,0,327575,329395,2673129,0,3471321,4,30,0.0444977,1.0055285049225369,14.976435930702893,8.79377115940569,10.59376020758605,7.3316003968556815,0,2,128.645104155,satisfy,0,0
u4-02,,,,,,,0,1,0,302049,302690,2372772,0,3477474,4,30,0.045207,1.0020989971825764,15.334525192932272,8.767573365822651,10.61900552559353,7.576787210022215,0,1,122.488660631,satisfy,0,0
u4-03,,,,,,,0,1,0,281116,281485,2278839,0,3474236,4,30,0.044037,1.0012770528891988,15.665163135502782,8.969251018266545,10.941838956160446,7.672757865080607,0,1,125.720202485,satisfy,0,0
u4-04,,,,,,,0,1,0,263468,263869,2099369,0,3514097,4,30,0.0450443,1.001491642248774,15.731720740279654,8.822106753407448,11.169288110890127,7.112393155905082,0,1,85.860542889,satisfy,0,0
u4-05,,,,,,,0,1,0,276612,277413,2181958,0,3480501,4,30,0.0452287,1.002866831518517,15.677327809350281,9.108433865609104,11.611018321692478,6.90421962893873,0,1,119.462526405,satisfy,0,0
u4-06,,,,,,,0,1,0,283588,284017,2299927,0,3513064,4,30,0.0825605,1.0014845480062626,15.37549543704247,8.587116430289225,10.470019888006545,7.068976825535636,0,2,86.849853159,satisfy,0,0
u4-07,,,,,,,0,1,0,293300,293565,2447230,0,3512814,4,30,0.0430249,1.000872826457552,15.414036822366178,8.772177879910943,10.68307875894988,7.304159563586771,0,1,87.15078337,satisfy,0,0
u4-08,,,,,,,0,1,0,289305,289737,2362402,0,3499583,4,30,0.0436474,1.0014655813069253,15.638599402015174,8.87561526975085,11.077216086828779,7.122182471785831,0,1,100.378306444,satisfy,0,0
