Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
s3-01,72,72,0,1,72,0,0,0,0,113,120,24738,0,854,3,20,0.0438491,1,10.061946902654867,4.6902654867256635,5.6902654867256635,3.079646017699115,0,0,0.106991766,satisfy,1,0
s3-02,72,72,0,1,72,0,0,0,0,102,110,19080,0,643,3,20,0.0434759,1.0098039215686274,10.137254901960784,5.0588235294117645,6.0588235294117645,2.8333333333333335,0,0,0.108248371,satisfy,1,0
s3-03,69,69,0,1,69,0,0,0,0,85,90,16617,0,618,3,20,0.0430342,1,10.152941176470588,5,6,3.070588235294118,0,0,0.109569736,satisfy,1,0
s3-04,77,77,0,1,77,0,0,0,0,673,678,132579,0,4632,3,20,0.0436611,1.0014858841010401,9.656760772659732,3.934131736526946,4.916790490341754,3.2585438335809807,0,5,0.105124224,satisfy,1,0
s3-05,78,78,0,1,78,0,0,0,0,361,368,105008,0,2581,3,20,0.0423296,1.0110803324099722,9.806094182825484,4.058333333333334,5.069252077562327,3.160664819944598,0,1,0.025770208,satisfy,1,0
s3-06,78,78,0,1,78,0,0,0,0,575,576,107157,0,3527,3,20,0.042137,1,9.740869565217391,3.775043936731107,4.770434782608696,3.1043478260869564,0,6,0.102441133,satisfy,1,0
s3-07,72,72,0,1,72,0,0,0,0,166,170,34092,0,1166,3,20,0.0422642,1.0060240963855422,10.301204819277109,4.734939759036145,5.734939759036145,3.0903614457831323,0,0,0.106938183,satisfy,1,0
s3-08,78,78,0,1,78,0,0,0,0,345,348,116882,0,3092,3,20,0.0419308,1,9.614492753623189,3.880813953488372,4.898550724637682,2.9014492753623187,0,1,0.0300867,satisfy,1,0
s3-09,78,78,0,1,78,0,0,0,0,181,187,70711,0,1706,3,20,0.0430537,1,9.30939226519337,3.6166666666666667,4.596685082872928,2.8784530386740332,0,1,0.030053715,satisfy,1,0
s3-10,78,78,0,1,78,0,0,0,0,426,431,79407,0,2433,3,20,0.0475781,1.0023474178403755,9.779342723004694,3.8089622641509435,4.826291079812207,3.2629107981220655,0,2,0.103339394,satisfy,1,0
s4-01,,,,,,,0,1,0,10403,10434,15475847,0,3484709,4,30,0.0442658,1.0019225223493222,15.770162453138518,10.049120446025185,11.129866384696722,7.281937902528117,0,0,116.101881968,satisfy,0,0
s4-02,,,,,,,0,1,0,12558,12582,18895761,0,3473233,4,30,0.0956168,1.0010351966873705,15.728937728937728,9.835244465679247,10.85340022296544,7.67948717948718,0,0,126.765511429,satisfy,0,0
s4-03,,,,,,,0,1,0,,,,,,4,30,0.0861577,,,,,,,,132.112231423,satisfy,0,0
s4-04,,,,,,,0,1,0,19679,19702,20324350,0,3444924,4,30,0.0453775,1.0005589714924539,15.791859342446262,10.539000965496214,11.547944509375476,7.669800294730424,0,0,155.043218728,satisfy,0,0
s4-05,,,,,,,0,1,0,,,,,,4,30,0.0452922,,,,,,,,44.530268651,satisfy,0,0
s4-06,,,,,,,0,1,0,17747,17768,20164768,0,3478196,4,30,0.0447652,1.0007325181720854,15.66676057925283,11.258409872091057,12.26483349298473,8.10598974474559,0,0,121.771284808,satisfy,0,0
s4-07,,,,,,,0,1,0,23810,23827,21726931,0,3414996,4,30,0.0455444,1.000209995800084,15.751742965140696,10.574590508189836,11.584838303233935,8.685132297354054,0,0,185.513595236,satisfy,0,0
s4-08,,,,,,,0,1,0,,,,,,4,30,0.0458156,,,,,,,,69.198554709,satisfy,0,0
s4-09,104,104,0,1,104,0,0,0,0,3036,3056,4993891,0,1814014,4,30,0.0454429,1.0029644268774704,15.807312252964428,9.497694334650856,10.58300395256917,6.201251646903821,0,0,34.445796705,satisfy,1,0
s4-10,,,,,,,0,1,0,,,,,,4,30,0.0454641,,,,,,,,126.873775839,satisfy,0,0
s5-01,,,,,,,0,1,0,,,,,,5,40,0.0453802,,,,,,,,,satisfy,,0
s5-02,,,,,,,0,1,0,,,,,,5,40,0.0881945,,,,,,,,,satisfy,,0
s5-03,,,,,,,0,1,0,,,,,,5,40,0.0881861,,,,,,,,,satisfy,,0
s5-04,,,,,,,0,1,0,,,,,,5,40,0.0893247,,,,,,,,,satisfy,,0
s5-05,,,,,,,0,1,0,,,,,,5,40,0.0913686,,,,,,,,,satisfy,,0
s5-06,,,,,,,0,1,0,,,,,,5,40,0.0914872,,,,,,,,,satisfy,,0
s5-07,,,,,,,0,1,0,,,,,,5,40,0.0902801,,,,,,,,,satisfy,,0
s5-08,,,,,,,0,1,0,,,,,,5,40,0.0891335,,,,,,,,,satisfy,,0
s5-09,,,,,,,0,1,0,,,,,,5,40,0.0885522,,,,,,,,,satisfy,,0
s5-10,,,,,,,0,1,0,,,,,,5,40,0.0883637,,,,,,,,,satisfy,,0
u3-01,,,,,,,0,0,1,514,513,166163,0,5030,3,20,0.0859065,1,9.539961013645224,3.6798418972332017,4.65692007797271,2.9200779727095516,0,7,0.028991627,satisfy,0,0
u3-02,,,,,,,0,0,1,699,700,130318,0,4344,3,20,0.0427407,1.002865329512894,9.75214899713467,3.959537572254335,4.939828080229226,3.2120343839541547,0,6,0.099477756,satisfy,0,0
u3-03,,,,,,,0,0,1,649,648,129576,0,4494,3,20,0.0428848,1,9.557098765432098,3.9018691588785046,4.868827160493828,3.058641975308642,0,6,0.105430884,satisfy,0,0
u3-04,,,,,,,0,0,1,714,715,123601,0,4305,3,20,0.0426146,1.002805049088359,9.424964936886395,3.876770538243626,4.854137447405329,3.0715287517531555,0,7,0.10982106,satisfy,0,0
u3-05,,,,,,,0,0,1,698,700,138035,0,4559,3,20,0.042612,1.0043041606886658,9.820659971305595,3.9231884057971014,4.90961262553802,3.206599713055954,0,7,0.103274908,satisfy,0,0
u3-06,,,,,,,0,0,1,422,421,128253,0,3352,3,20,0.0431045,1,9.104513064133016,3.4830917874396135,4.425178147268409,2.505938242280285,0,7,0.032337342,satisfy,0,0
u3-07,,,,,,,0,0,1,616,619,117972,0,4107,3,20,0.0434083,1.0065040650406505,9.601626016260163,3.817434210526316,4.808130081300813,3.089430894308943,0,7,0.109450198,satisfy,0,0
u3-08,,,,,,,0,0,1,371,370,103214,0,2475,3,20,0.0428265,1,9.335135135135134,3.3956043956043955,4.34054054054054,2.6297297297297297,0,6,0.029464081,satisfy,0,0
u3-09,,,,,,,0,0,1,585,588,118769,0,3816,3,20,0.0423187,1.0068493150684932,9.592465753424657,3.850953206239168,4.813356164383562,3.041095890410959,0,7,0.107055347,satisfy,0,0
u3-10,,,,,,,0,0,1,592,591,131135,0,4227,3,20,0.0422958,1,9.707275803722505,3.771869639794168,4.7241962774957695,3.027072758037225,0,8,0.10468516,satisfy,0,0
u4-01,,,,,,,0,1,0,52708,52951,18415429,0,3412101,4,30,0.0452974,1.0044585262199286,15.342604538210518,9.75062609091599,10.835926235106625,8.366623662442134,0,0,188.610907975,satisfy,0,0
u4-02,,,,,,,0,1,0,16804,16835,14849019,0,3438163,4,30,0.0828677,1.0014282313734826,15.593132587479172,9.841644846465128,10.855629611997143,7.986372292311354,0,0,161.781453598,satisfy,0,0
u4-03,,,,,,,0,1,0,,,,,,4,30,0.0439568,,,,,,,,124.605256513,satisfy,0,0
