Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
qcp-10-67-0_ext,383,383,0,1,383,0,0,0,0,15,95,1098,0,8,20,100,0.116288,4.8,2,5,8.066666666666666,0.26666666666666666,0.13333333333333333,0,0.119259436,satisfy,1,0
qcp-10-67-10_ext,,,,,,,0,0,1,43,158,1766,0,12,20,100,0.0938655,3.761904761904762,2.0952380952380953,1.9230769230769231,4.214285714285714,0.42857142857142855,0.4523809523809524,3,0.163471417,satisfy,0,0
qcp-10-67-11_ext,,,,,,,0,0,1,221,616,7488,0,57,20,100,0.0840269,2.8,2.7,4.5233644859813085,8.754545454545454,0.42727272727272725,0.2772727272727273,6,0.101405506,satisfy,0,0
qcp-10-67-12_ext,,,,,,,0,0,1,185,604,6469,0,56,20,100,0.0841673,3.282608695652174,2.3206521739130435,3.9329608938547485,7.896739130434782,0.23369565217391305,0.32065217391304346,5,0.130883047,satisfy,0,0
qcp-10-67-13_ext,,,,,,,0,0,1,8,24,588,0,2,20,100,0.0830647,3.4285714285714284,2,1,1.8571428571428572,0.7142857142857143,0.2857142857142857,5,0.120937128,satisfy,0,0
qcp-10-67-14_ext,,,,,,,0,0,1,19,83,1208,0,8,20,100,0.0855277,4.611111111111111,2.111111111111111,1.9285714285714286,3.6666666666666665,0.3333333333333333,0.2222222222222222,4,0.09553378,satisfy,0,0
qcp-10-67-1_ext,345,345,0,1,345,0,0,0,0,30,90,1388,0,7,20,100,0.0918854,2.4,2,3.7666666666666666,6.733333333333333,0.43333333333333335,0.36666666666666664,0,0.100122997,satisfy,1,0
qcp-10-67-2_ext,69,69,0,1,69,0,0,0,0,2,16,623,0,3,20,100,0.0856667,1,2,3.5,8,0,0.5,0,0.178554285,satisfy,1,0
qcp-10-67-3_ext,759,759,0,1,759,0,0,0,0,75,157,2764,0,17,20,100,0.0963143,1.8533333333333333,2.8666666666666667,4.986666666666666,12.2,0.4,0.32,0,0.078863264,satisfy,1,0
qcp-10-67-4_ext,503,503,0,1,503,0,0,0,0,26,67,1216,0,5,20,100,0.0856241,1.8076923076923077,2,5.115384615384615,9.153846153846153,0.34615384615384615,0.4230769230769231,0,0.153048305,satisfy,1,0
qcp-10-67-5_ext,0,0,0,1,0,0,0,0,0,0,20,576,0,2,20,100,0.0940887,0,0,0,0,0,0,0,0.092901819,satisfy,1,0
qcp-10-67-6_ext,337,337,0,1,337,0,0,0,0,17,53,958,0,6,20,100,0.0911131,1.5294117647058822,3.0588235294117645,4.529411764705882,8.941176470588236,0.4117647058823529,0.35294117647058826,0,0.185713829,satisfy,1,0
qcp-10-67-7_ext,495,495,0,1,495,0,0,0,0,51,159,1998,0,10,20,100,0.0926502,2.607843137254902,2.2745098039215685,3.06,5.901960784313726,0.21568627450980393,0.43137254901960786,1,0.168351144,satisfy,1,0
qcp-10-67-8_ext,61,61,0,1,61,0,0,0,0,2,23,598,0,3,20,100,0.0924814,1.5,2,3.5,5.5,0,0,0,0.178899481,satisfy,1,0
qcp-10-67-9_ext,262,262,0,1,262,0,0,0,0,10,38,744,0,4,20,100,0.0966468,1.8,2,4.1,8,0.1,0.5,0,0.159149684,satisfy,1,0
qcp-15-120-0_ext,1994,1994,0,1,1994,0,0,0,0,59,195,4691,0,32,30,225,0.0918914,2.76271186440678,2.2033898305084745,9.135593220338983,19.440677966101696,0.4576271186440678,0.4745762711864407,0,5.148445965,satisfy,1,0
qcp-15-120-10_ext,,,,,,,0,0,1,5795,9428,358048,0,2477,30,225,0.0912932,1.627200552295478,4.340869865377977,5.622018665744902,20.605281325509146,2.7854677252329996,0.6741456679323438,8,6.026296696,satisfy,0,0
qcp-15-120-11_ext,,,,,,,0,0,1,44,127,3283,0,20,30,225,0.0958326,2.953488372093023,2.3255813953488373,3.85,7.883720930232558,0.4883720930232558,0.4883720930232558,3,1.820684591,satisfy,0,0
qcp-15-120-12_ext,,,,,,,0,0,1,1572,2734,83053,0,531,30,225,0.0844356,1.740292807129217,3.9681731381285803,6.0140575079872205,20.502227880331,1.5983450031826862,0.5754296626352642,6,4.544126123,satisfy,0,0
qcp-15-120-13_ext,,,,,,,0,0,1,3270,4815,194909,0,1239,30,225,0.0824708,1.4729275007647598,4.103395533802386,4.916871165644172,20.622514530437442,2.884674212297339,0.6228204343836036,9,2.609255333,satisfy,0,0
qcp-15-120-14_ext,,,,,,,0,0,1,100,309,6198,0,50,30,225,0.0933325,3.121212121212121,2.595959595959596,4.1875,8.383838383838384,0.6868686868686869,0.494949494949495,3,3.801369743,satisfy,0,0
qcp-15-120-1_ext,2651,2651,0,1,2651,0,0,0,0,490,843,27921,0,184,30,225,0.0912239,1.6857142857142857,3.13265306122449,8.76734693877551,25.416326530612245,0.9204081632653062,0.5224489795918368,0,3.60965338,satisfy,1,0
qcp-15-120-2_ext,1282,1282,0,1,1282,0,0,0,0,60,176,4534,0,31,30,225,0.175566,2.566666666666667,2.15,6.783333333333333,15.8,0.2833333333333333,0.4666666666666667,0,3.075456352,satisfy,1,0
qcp-15-120-3_ext,2912,2912,0,1,2912,0,0,0,0,1490,2410,82061,0,596,30,225,0.0826129,1.610738255033557,4.755704697986578,6.853691275167785,28.322147651006713,1.9255033557046979,0.8624161073825504,0,2.308495713,satisfy,1,0
qcp-15-120-4_ext,2935,2935,0,1,2935,0,0,0,0,1200,1925,74250,0,424,30,225,0.0832433,1.5883333333333334,4.359166666666667,8.340833333333334,27.945,2.1983333333333333,1.0791666666666666,0,3.8180559240000003,satisfy,1,0
qcp-15-120-5_ext,3285,3285,0,1,3285,0,0,0,0,2708,4264,160295,0,1131,30,225,0.0826607,1.5690546528803544,3.8556129985228953,5.152567417805689,19.425775480059084,1.4098966026587887,0.5236336779911374,1,3.232378654,satisfy,1,0
qcp-15-120-6_ext,2823,2823,0,1,2823,0,0,0,0,695,1071,36686,0,276,30,225,0.0825094,1.506474820143885,3.3640287769784174,7.919424460431655,24.33093525179856,1.0359712230215827,0.753956834532374,0,3.109817944,satisfy,1,0
qcp-15-120-7_ext,2796,2796,0,1,2796,0,0,0,0,851,1332,49385,0,301,30,225,0.113833,1.5428907168037602,4.081081081081081,8.493537015276146,25.613396004700352,1.5076380728554641,0.6592244418331374,0,3.07300449,satisfy,1,0
qcp-15-120-8_ext,3194,3194,0,1,3194,0,0,0,0,4339,6159,264362,0,1868,30,225,0.11387,1.4143811938234616,5.470615349158792,10.00184374279788,35.69993085964508,2.9253284166858724,0.9748790043788892,0,6.092011522,satisfy,1,0
qcp-15-120-9_ext,3034,3034,0,1,3034,0,0,0,0,6942,9492,434079,0,2856,30,225,0.116311,1.3657447421492366,5.058340535868626,7.684673004897724,28.70368769806972,3.4889080956496685,1.0152693748199366,0,3.292035947,satisfy,1,0
qcp-20-187-0_ext,,,,,,,0,1,0,,,,,,40,400,0.091898,,,,,,,,,satisfy,,0
qcp-20-187-10_ext,,,,,,,0,1,0,,,,,,40,400,0.166549,,,,,,,,,satisfy,,0
qcp-20-187-11_ext,,,,,,,0,1,0,,,,,,40,400,0.166821,,,,,,,,,satisfy,,0
qcp-20-187-12_ext,,,,,,,0,1,0,,,,,,40,400,0.179805,,,,,,,,,satisfy,,0
qcp-20-187-13_ext,,,,,,,0,1,0,,,,,,40,400,0.174805,,,,,,,,,satisfy,,0
qcp-20-187-14_ext,,,,,,,0,0,1,11601,18978,877056,0,9835,40,400,0.167391,1.6360344827586206,5.426896551724138,7.224151334542627,31.272068965517242,4.656896551724138,1.1510344827586207,23,597.26720966,satisfy,0,0
qcp-20-187-1_ext,5808,5808,0,1,5808,0,0,0,0,14886,24345,1065114,0,12100,40,400,0.0929294,1.6340857181244122,8.842402257154374,11.49183632332191,42.294437726723096,3.607349187155717,0.9436383178825742,3,403.869298858,satisfy,1,0
qcp-20-187-2_ext,5827,5827,0,1,5827,0,0,0,0,34947,47630,3259710,0,35101,40,400,0.148441,1.3625490027756317,7.146078347211492,9.036830357142858,44.93864995564712,6.476721893152488,1.4509399948493433,3,428.8057861,satisfy,1,0
qcp-20-187-3_ext,,,,,,,0,1,0,,,,,,40,400,0.139406,,,,,,,,,satisfy,,0
qcp-20-187-4_ext,,,,,,,0,1,0,,,,,,40,400,0.168773,,,,,,,,,satisfy,,0
qcp-20-187-5_ext,,,,,,,0,1,0,,,,,,40,400,0.172782,,,,,,,,,satisfy,,0
qcp-20-187-6_ext,5698,5698,0,1,5698,0,0,0,0,55568,72023,5168279,0,55216,40,400,0.167447,1.29569176504463,8.407428735963144,14.995465015836453,63.96204650158364,5.581935646415203,1.8358587676360496,0,361.827583772,satisfy,1,0
qcp-20-187-7_ext,6106,6106,0,1,6106,0,0,0,0,75676,100483,7103128,0,79342,40,400,0.0929699,1.3275807389396903,9.020270627411596,14.139866793529972,56.65760611025953,6.675114963793012,1.4867725566890428,4,425.962430859,satisfy,1,0
qcp-20-187-8_ext,6403,6403,0,1,6403,0,0,0,0,15610,23028,1319878,0,15698,40,400,0.136388,1.4737347853939782,6.939910313901345,11.230172966047405,56.36079436258809,5.118834080717488,1.3705957719410635,0,778.126833002,satisfy,1,0
qcp-20-187-9_ext,,,,,,,0,1,0,,,,,,40,400,0.0940388,,,,,,,,,satisfy,,0
qcp-25-264-0_ext,,,,,,,0,1,0,,,,,,50,625,0.171024,,,,,,,,,satisfy,,0
qcp-25-264-10_ext,,,,,,,0,1,0,,,,,,50,625,0.167746,,,,,,,,,satisfy,,0
qcp-25-264-11_ext,,,,,,,0,1,0,,,,,,50,625,0.18028,,,,,,,,,satisfy,,0
qcp-25-264-12_ext,,,,,,,0,1,0,,,,,,50,625,0.172552,,,,,,,,,satisfy,,0
qcp-25-264-13_ext,,,,,,,0,1,0,,,,,,50,625,0.172775,,,,,,,,,satisfy,,0
qcp-25-264-14_ext,,,,,,,0,1,0,,,,,,50,625,0.170142,,,,,,,,,satisfy,,0
qcp-25-264-1_ext,,,,,,,0,1,0,,,,,,50,625,0.190549,,,,,,,,,satisfy,,0
qcp-25-264-2_ext,,,,,,,0,1,0,,,,,,50,625,0.167952,,,,,,,,,satisfy,,0
qcp-25-264-3_ext,,,,,,,0,1,0,,,,,,50,625,0.170195,,,,,,,,,satisfy,,0
qcp-25-264-4_ext,,,,,,,0,1,0,,,,,,50,625,0.167933,,,,,,,,,satisfy,,0
qcp-25-264-5_ext,,,,,,,0,1,0,,,,,,50,625,0.166688,,,,,,,,,satisfy,,0
qcp-25-264-6_ext,,,,,,,0,1,0,,,,,,50,625,0.169526,,,,,,,,,satisfy,,0
qcp-25-264-7_ext,,,,,,,0,1,0,,,,,,50,625,0.167958,,,,,,,,,satisfy,,0
qcp-25-264-8_ext,,,,,,,0,1,0,,,,,,50,625,0.166899,,,,,,,,,satisfy,,0
qcp-25-264-9_ext,,,,,,,0,1,0,,,,,,50,625,0.168636,,,,,,,,,satisfy,,0
