Filename,1AutonomousSearchAverageSizeOfHeap,1AutonomousSearchNumAssignedPredicatesEncountered,1AutonomousSearchNumBackupCalled,1AutonomousSearchNumCalls,1AutonomousSearchNumPredicatesAdded,1AutonomousSearchNumPredicatesRemoved,ERROR,UNKNOWN,UNSATISFIABLE,engineStatisticsNumConflicts,engineStatisticsNumDecisions,engineStatisticsNumPropagations,engineStatisticsNumRestarts,engineStatisticsTimeSpentInSolver,flatIntConstraints,flatIntVars,flatTime,learnedClauseStatisticsAverageBacktrackAmount,learnedClauseStatisticsAverageConflictSize,learnedClauseStatisticsAverageLbd,learnedClauseStatisticsAverageLearnedClauseLength,learnedClauseStatisticsAverageNumberOfRemovedLiteralsRecursive,learnedClauseStatisticsAverageNumberOfRemovedLiteralsSemantic,learnedClauseStatisticsNumUnitClausesLearned,mddCompilationTime,method,nSolutions,paths
s3-01,72,72,0,1,72,0,0,0,0,113,120,24738,0,783,3,20,0.10021,1,10.061946902654867,4.6902654867256635,5.6902654867256635,3.079646017699115,0,0,0.114180723,satisfy,1,0
s3-02,72,72,0,1,72,0,0,0,0,102,110,19080,0,598,3,20,0.04278,1.0098039215686274,10.137254901960784,5.0588235294117645,6.0588235294117645,2.8333333333333335,0,0,0.112089839,satisfy,1,0
s3-03,69,69,0,1,69,0,0,0,0,85,90,16617,0,594,3,20,0.0429588,1,10.152941176470588,5,6,3.070588235294118,0,0,0.113906343,satisfy,1,0
s3-04,77,77,0,1,77,0,0,0,0,673,678,132579,0,4394,3,20,0.0410981,1.0014858841010401,9.656760772659732,3.934131736526946,4.916790490341754,3.2585438335809807,0,5,0.109136448,satisfy,1,0
s3-05,78,78,0,1,78,0,0,0,0,361,368,105008,0,2481,3,20,0.0409615,1.0110803324099722,9.806094182825484,4.058333333333334,5.069252077562327,3.160664819944598,0,1,0.037411753,satisfy,1,0
s3-06,78,78,0,1,78,0,0,0,0,575,576,107157,0,3427,3,20,0.0412462,1,9.740869565217391,3.775043936731107,4.770434782608696,3.1043478260869564,0,6,0.109462489,satisfy,1,0
s3-07,72,72,0,1,72,0,0,0,0,166,170,34092,0,1143,3,20,0.0413725,1.0060240963855422,10.301204819277109,4.734939759036145,5.734939759036145,3.0903614457831323,0,0,0.115449222,satisfy,1,0
s3-08,78,78,0,1,78,0,0,0,0,345,348,116882,0,2851,3,20,0.0413101,1,9.614492753623189,3.880813953488372,4.898550724637682,2.9014492753623187,0,1,0.042794084,satisfy,1,0
s3-09,78,78,0,1,78,0,0,0,0,181,187,70711,0,1612,3,20,0.0414864,1,9.30939226519337,3.6166666666666667,4.596685082872928,2.8784530386740332,0,1,0.041422447,satisfy,1,0
s3-10,78,78,0,1,78,0,0,0,0,426,431,79407,0,2331,3,20,0.0418202,1.0023474178403755,9.779342723004694,3.8089622641509435,4.826291079812207,3.2629107981220655,0,2,0.108521713,satisfy,1,0
s4-01,,,,,,,0,1,0,2572,2585,1418714,0,595402,4,30,0.045473,1.0003888024883358,15.862752721617419,9.648522550544323,10.663297045101089,6.581259720062208,0,0,4.925890559,satisfy,0,0
s4-02,,,,,,,0,1,0,3323,3334,1169620,0,554371,4,30,0.0435012,1,15.757448089076137,9.988865482997292,11.007523322299127,6.856154077640686,0,0,45.640738436,satisfy,0,0
s4-03,,,,,,,0,1,0,2990,3006,1199179,0,511894,4,30,0.0429728,1.0023411371237458,15.608695652173912,9.735451505016723,10.73913043478261,6.340468227424749,0,0,88.18354379,satisfy,0,0
s4-04,,,,,,,0,1,0,2274,2284,1416683,0,594288,4,30,0.0434739,1,16.036499560246263,10.052330694810905,11.077396657871592,6.098944591029023,0,0,5.9604324250000005,satisfy,0,0
s4-05,,,,,,,0,1,0,2761,2769,1585793,0,595519,4,30,0.0432721,1.0003621876131836,15.596522998913438,9.660992394060123,10.807678377399492,5.740673668960522,0,0,4.496645632,satisfy,0,0
s4-06,,,,,,,0,1,0,2671,2684,1410520,0,594712,4,30,0.0466806,1.0003743916136278,16.13927368026956,9.713964807188319,10.72781729689255,6.54810932235118,0,0,5.256969694,satisfy,0,0
s4-07,,,,,,,0,1,0,3112,3121,1130110,0,496500,4,30,0.0432468,1,15.958868894601542,9.946015424164525,10.953084832904885,6.866645244215938,0,0,103.525003582,satisfy,0,0
s4-08,,,,,,,0,1,0,2702,2714,1362489,0,593960,4,30,0.0434309,1.000740192450037,15.75240562546262,10.593634344929681,11.602146558105108,6.101776461880089,0,0,6.09463026,satisfy,0,0
